,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
16,Fleeting Spirit,W,2.0,{1}{W},3.0,1.0,,"{W}, Exile three cards from your graveyard: Fleeting Spirit gains first strike until end of turn.
Discard a card: Exile Fleeting Spirit. Return it to the battlefield under its owner's control at the beginning of the next end step.",uncommon,,,Creature
17,Gryff Rider,W,3.0,{2}{W},2.0,1.0,,"Flying
Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)",common,"Flying, Training",,Creature
18,Gryffwing Cavalry,W,4.0,{3}{W},2.0,2.0,,"Flying
Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
Whenever Gryffwing Cavalry attacks, you may pay {1}{W}. If you do, target attacking creature without flying gains flying until end of turn.",uncommon,"Flying, Training",,Creature
19,Hallowed Haunting,W,4.0,{2}{W}{W},,,,"As long as you control seven or more enchantments, creatures you control have flying and vigilance.
Whenever you cast an enchantment spell, create a white Spirit Cleric creature token with ""This creature's power and toughness are each equal to the number of Spirits you control.""",mythic,,,Enchantment
20,Heron of Hope,W,4.0,{3}{W},2.0,3.0,,"Flying
If you would gain life, you gain that much life plus 1 instead.
{1}{W}: Heron of Hope gains lifelink until end of turn.",common,Flying,,Creature
21,Heron-Blessed Geist,W,5.0,{4}{W},3.0,3.0,,"Flying
{3}{W}, Exile Heron-Blessed Geist from your graveyard: Create two 1/1 white Spirit creature tokens with flying. Activate only if you control an enchantment and only as a sorcery.",common,Flying,,Creature
22,Hopeful Initiate,W,1.0,{W},1.0,2.0,,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
{2}{W}, Remove two +1/+1 counters from among creatures you control: Destroy target artifact or enchantment.",rare,Training,,Creature
23,"Katilda, Dawnhart Martyr",W,3.0,{1}{W}{W},,,,"Flying, lifelink, protection from Vampires
Katilda, Dawnhart Martyr's power and toughness are each equal to the number of permanents you control that are Spirits and/or enchantments.
Disturb {3}{W}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",rare,"Disturb, Enchant, Flying, Lifelink, Protection, Transform",Legendary,Creature
24,Katilda's Rising Dawn,W,3.0,,,,,"Enchant creature
Enchanted creature has flying, lifelink, and protection from Vampires, and it gets +X/+X, where X is the number of permanents you control that are Spirits and/or enchantments.
If Katilda's Rising Dawn would be put into a graveyard from anywhere, exile it instead.",rare,"Enchant, Flying, Lifelink, Protection",Legendary,Enchantment
25,Kindly Ancestor,W,3.0,{2}{W},2.0,3.0,,"Lifelink
Disturb {1}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",common,"Disturb, Lifelink, Transform",,Creature
26,Ancestor's Embrace,W,3.0,,,,,"Enchant creature
Enchanted creature has lifelink.
If Ancestor's Embrace would be put into a graveyard from anywhere, exile it instead.",common,"Enchant, Lifelink",,Enchantment
27,Lantern Flare,W,2.0,{1}{W},,,,"Cleave {X}{R}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Lantern Flare deals X damage to target creature or planeswalker and you gain X life. [X is the number of creatures you control.]",rare,Cleave,,Instant
28,Militia Rallier,W,3.0,{2}{W},3.0,3.0,,"Militia Rallier can't attack alone.
Whenever Militia Rallier attacks, untap target creature.",common,,,Creature
29,Nebelgast Beguiler,W,5.0,{4}{W},2.0,5.0,,"{W}, {T}: Tap target creature.",common,,,Creature
30,Nurturing Presence,W,2.0,{1}{W},,,,"Enchant creature
Enchanted creature has ""Whenever a creature enters the battlefield under your control, this creature gets +1/+1 until end of turn.""
When Nurturing Presence enters the battlefield, create a 1/1 white Spirit creature token with flying.",common,Enchant,,Enchantment
31,Ollenbock Escort,W,1.0,{W},1.0,1.0,,"Vigilance
Sacrifice Ollenbock Escort: Target creature you control with a +1/+1 counter on it gains lifelink and indestructible until end of turn.",uncommon,Vigilance,,Creature
32,Panicked Bystander,W,2.0,{1}{W},2.0,2.0,,"Whenever Panicked Bystander or another creature you control dies, you gain 1 life.
At the beginning of your end step, if you gained 3 or more life this turn, transform Panicked Bystander.",uncommon,Transform,,Creature
33,Cackling Culprit,B,2.0,,3.0,5.0,,"Whenever Cackling Culprit or another creature you control dies, you gain 1 life.
{1}{B}: Cackling Culprit gains deathtouch until end of turn.",uncommon,,,Creature
34,Parish-Blade Trainee,W,2.0,{1}{W},1.0,2.0,,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
When Parish-Blade Trainee dies, put its counters on target creature you control.",common,Training,,Creature
35,Piercing Light,W,1.0,{W},,,,Piercing Light deals 2 damage to target attacking or blocking creature. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),common,Scry,,Instant
36,Radiant Grace,W,1.0,{W},,,,"Enchant creature
Enchanted creature gets +1/+0 and has vigilance.
When enchanted creature dies, return Radiant Grace to the battlefield transformed under your control attached to target opponent.",uncommon,"Enchant, Transform",,Enchantment
37,Radiant Restraints,W,1.0,,,,,"Enchant player
Creatures enchanted player controls enter the battlefield tapped.",uncommon,Enchant,,Enchantment
38,Resistance Squad,W,3.0,{2}{W},3.0,2.0,,"When Resistance Squad enters the battlefield, if you control another Human, draw a card.",uncommon,,,Creature
39,Sanctify,W,2.0,{1}{W},,,,Destroy target artifact or enchantment. You gain 3 life.,common,,,Sorcery
40,Savior of Ollenbock,W,3.0,{1}{W}{W},1.0,2.0,,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
Whenever Savior of Ollenbock trains, exile up to one other target creature from the battlefield or creature card from a graveyard.
When Savior of Ollenbock leaves the battlefield, put the exiled cards onto the battlefield under their owners' control.",mythic,Training,,Creature
41,Sigarda's Imprisonment,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature can't attack or block.
{4}{W}: Exile enchanted creature. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")",common,Enchant,,Enchantment
42,Sigarda's Summons,W,6.0,{4}{W}{W},,,,"Creatures you control with +1/+1 counters on them have base power and toughness 4/4, have flying, and are Angels in addition to their other types.",rare,,,Enchantment
43,Supernatural Rescue,W,4.0,{3}{W},,,,"This spell has flash as long as you control a Spirit.
When you cast this spell, tap up to two target creatures you don't control.
Enchant creature you control
Enchanted creature gets +1/+2.",common,Enchant,,Enchantment
44,"Thalia, Guardian of Thraben",W,2.0,{1}{W},2.0,1.0,,"First strike
Noncreature spells cost {1} more to cast.",rare,First strike,Legendary,Creature
45,Traveling Minister,W,1.0,{W},1.0,1.0,,{T}: Target creature gets +1/+0 until end of turn. You gain 1 life. Activate only as a sorcery.,common,,,Creature
46,Twinblade Geist,W,2.0,{1}{W},1.0,1.0,,"Double strike
Disturb {2}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",uncommon,"Disturb, Double strike, Transform",,Creature
47,Twinblade Invocation,W,2.0,,,,,"Enchant creature
Enchanted creature has double strike.
If Twinblade Invocation would be put into a graveyard from anywhere, exile it instead.",uncommon,"Double strike, Enchant",,Enchantment
48,Unholy Officiant,W,1.0,{W},1.0,2.0,,"Vigilance
{4}{W}: Put a +1/+1 counter on Unholy Officiant.",common,Vigilance,,Creature
49,Valorous Stance,W,2.0,{1}{W},,,,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",uncommon,,,Instant
50,Vampire Slayer,W,2.0,{1}{W},2.0,2.0,,"Whenever Vampire Slayer deals damage to a Vampire, destroy that creature.",common,,,Creature
51,Voice of the Blessed,W,2.0,{W}{W},2.0,2.0,,"Whenever you gain life, put a +1/+1 counter on Voice of the Blessed.
As long as Voice of the Blessed has four or more +1/+1 counters on it, it has flying and vigilance.
As long as Voice of the Blessed has ten or more +1/+1 counters on it, it has indestructible.",rare,,,Creature
52,Wedding Announcement,W,3.0,{2}{W},,,,"At the beginning of your end step, put an invitation counter on Wedding Announcement. If you attacked with two or more creatures this turn, draw a card. Otherwise, create a 1/1 white Human creature token. Then if Wedding Announcement has three or more invitation counters on it, transform it.",rare,Transform,,Enchantment
53,Wedding Festivity,W,3.0,,,,,Creatures you control get +1/+1.,rare,,,Enchantment
54,Welcoming Vampire,W,3.0,{2}{W},2.0,3.0,,"Flying
Whenever one or more other creatures with power 2 or less enter the battlefield under your control, draw a card. This ability triggers only once each turn.",rare,Flying,,Creature
55,Alchemist's Retrieval,U,1.0,{U},,,,"Cleave {1}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Return target nonland permanent [you control] to its owner's hand.",common,Cleave,,Instant
56,Binding Geist,U,3.0,{2}{U},3.0,1.0,,"Whenever Binding Geist attacks, target creature an opponent controls gets -2/-0 until end of turn.
Disturb {1}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",common,"Disturb, Transform",,Creature
57,Spectral Binding,U,3.0,,,,,"Enchant creature
Enchanted creature gets -2/-0.
If Spectral Binding would be put into a graveyard from anywhere, exile it instead.",common,Enchant,,Enchantment
58,Biolume Egg,U,3.0,{2}{U},0.0,4.0,,"Defender
When Biolume Egg enters the battlefield, scry 2.
When you sacrifice Biolume Egg, return it to the battlefield transformed under its owner's control at the beginning of the next end step.",uncommon,"Defender, Scry, Transform",,Creature
59,Biolume Serpent,U,3.0,,4.0,4.0,,Sacrifice two Islands: Biolume Serpent can't be blocked this turn.,uncommon,,,Creature
60,Cemetery Illuminator,U,3.0,{1}{U}{U},2.0,3.0,,"Flying
Whenever Cemetery Illuminator enters the battlefield or attacks, exile a card from a graveyard.
You may look at the top card of your library any time.
Once each turn, you may cast a spell from the top of your library if it shares a card type with a card exiled with Cemetery Illuminator.",mythic,Flying,,Creature
61,Chill of the Grave,U,3.0,{2}{U},,,,"This spell costs {1} less to cast if you control a Zombie.
Tap target creature. It doesn't untap during its controller's next untap step.
Draw a card.",common,,,Instant
62,Cobbled Lancer,U,1.0,{U},3.0,3.0,,"As an additional cost to cast this spell, exile a creature card from your graveyard.
{3}{U}, Exile Cobbled Lancer from your graveyard: Draw a card.",uncommon,,,Creature
63,Consuming Tide,U,4.0,{2}{U}{U},,,,Each player chooses a nonland permanent they control. Return all nonland permanents not chosen this way to their owners' hands. Then you draw a card for each opponent who has more cards in their hand than you.,rare,,,Sorcery
64,Cradle of Safety,U,2.0,{1}{U},,,,"Flash
Enchant creature you control
When Cradle of Safety enters the battlefield, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Enchanted creature gets +1/+1.",common,"Enchant, Flash",,Enchantment
65,Cruel Witness,U,4.0,{2}{U}{U},3.0,3.0,,"Flying
Whenever you cast a noncreature spell, look at the top card of your library. You may put that card into your graveyard.",common,Flying,,Creature
66,Diver Skaab,U,5.0,{3}{U}{U},3.0,5.0,,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
When Diver Skaab exploits a creature, target creature's owner puts it on the top or bottom of their library.",uncommon,Exploit,,Creature
67,Dreadlight Monstrosity,U,6.0,{4}{U}{U},5.0,5.0,,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
{3}{U}{U}: Dreadlight Monstrosity can't be blocked this turn. Activate only if you own a card in exile.",common,Ward,,Creature
68,Dreamshackle Geist,U,3.0,{1}{U}{U},3.0,1.0,,"Flying
At the beginning of combat on your turn, choose up to one —
• Tap target creature.
• Target creature doesn't untap during its controller's next untap step.",rare,Flying,,Creature
69,Fear of Death,U,2.0,{1}{U},,,,"Enchant creature
When Fear of Death enters the battlefield, mill two cards. (Put the top two cards of your library into your graveyard.)
Enchanted creature gets -X/-0, where X is the number of cards in your graveyard.",common,"Enchant, Mill",,Enchantment
70,Geistlight Snare,U,3.0,{2}{U},,,,"This spell costs {1} less to cast if you control a Spirit. It also costs {1} less to cast if you control an enchantment.
Counter target spell unless its controller pays {3}.",uncommon,,,Instant
71,"Geralf, Visionary Stitcher",U,3.0,{2}{U},1.0,4.0,,"Zombies you control have flying.
{U}, {T}, Sacrifice another nontoken creature: Create an X/X blue Zombie creature token, where X is the sacrificed creature's toughness.",rare,,Legendary,Creature
72,Gutter Skulker,U,4.0,{3}{U},3.0,3.0,,"Gutter Skulker can't be blocked as long as it's attacking alone.
Disturb {3}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",uncommon,"Disturb, Transform",,Creature
73,Gutter Shortcut,U,4.0,,,,,"Enchant creature
Enchanted creature can't be blocked as long as it's attacking alone.
If Gutter Shortcut would be put into a graveyard from anywhere, exile it instead.",uncommon,Enchant,,Enchantment
74,Hullbreaker Horror,U,7.0,{5}{U}{U},7.0,8.0,,"Flash
This spell can't be countered.
Whenever you cast a spell, choose up to one —
• Return target spell you don't control to its owner's hand.
• Return target nonland permanent to its owner's hand.",rare,Flash,,Creature
75,Inspired Idea,U,3.0,{2}{U},,,,"Cleave {3}{U}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Draw three cards. [Your maximum hand size is reduced by three for the rest of the game.]",rare,Cleave,,Sorcery
76,"Jacob Hauken, Inspector",U,2.0,{1}{U},0.0,2.0,,"{T}: Draw a card, then exile a card from your hand face down. You may look at that card for as long as it remains exiled. You may pay {4}{U}{U}. If you do, transform Jacob Hauken, Inspector.",mythic,Transform,Legendary,Creature
77,Hauken's Insight,U,2.0,,,,,"At the beginning of your upkeep, exile the top card of your library face down. You may look at that card for as long as it remains exiled.
Once during each of your turns, you may play a land or cast a spell from among the cards exiled with this permanent without paying its mana cost.",mythic,,Legendary,Enchantment
78,Lantern Bearer,U,1.0,{U},1.0,1.0,,"Flying
Disturb {2}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",common,"Disturb, Flying, Transform",,Creature
79,Lanterns' Lift,U,1.0,,,,,"Enchant creature
Enchanted creature gets +1/+1 and has flying.
If Lanterns' Lift would be put into a graveyard from anywhere, exile it instead.",common,"Enchant, Flying",,Enchantment
80,Lunar Rejection,U,2.0,{1}{U},,,,"Cleave {3}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Return target [Wolf or Werewolf] creature to its owner's hand.
Draw a card.",uncommon,Cleave,,Instant
81,Mirrorhall Mimic,U,4.0,{3}{U},0.0,0.0,,"You may have Mirrorhall Mimic enter the battlefield as a copy of any creature on the battlefield, except it's a Spirit in addition to its other types.
Disturb {3}{U}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",rare,"Disturb, Transform",,Creature
82,Ghastly Mimicry,U,4.0,,,,,"Enchant creature
At the beginning of your upkeep, create a token that's a copy of enchanted creature, except it's a Spirit in addition to its other types.
If Ghastly Mimicry would be put into a graveyard from anywhere, exile it instead.",rare,Enchant,,Enchantment
83,Mischievous Catgeist,U,2.0,{1}{U},1.0,1.0,,"Whenever Mischievous Catgeist deals combat damage to a player, draw a card.
Disturb {2}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",uncommon,"Disturb, Transform",,Creature
84,Catlike Curiosity,U,2.0,,,,,"Enchant creature
Enchanted creature has ""Whenever this creature deals combat damage to a player, draw a card.""
If Catlike Curiosity would be put into a graveyard from anywhere, exile it instead.",uncommon,Enchant,,Enchantment
85,Necroduality,U,4.0,{3}{U},,,,"Whenever a nontoken Zombie enters the battlefield under your control, create a token that's a copy of that creature.",mythic,,,Enchantment
86,Overcharged Amalgam,U,4.0,{2}{U}{U},3.0,3.0,,"Flash
Flying
Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
When Overcharged Amalgam exploits a creature, counter target spell, activated ability, or triggered ability.",rare,"Exploit, Flash, Flying",,Creature
87,Patchwork Crawler,U,2.0,{1}{U},1.0,2.0,,"{2}{U}: Exile target creature card from your graveyard and put a +1/+1 counter on Patchwork Crawler.
Patchwork Crawler has all activated abilities of all creature cards exiled with it.",rare,,,Creature
88,Repository Skaab,U,4.0,{3}{U},3.0,3.0,,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
When Repository Skaab exploits a creature, return target instant or sorcery card from your graveyard to your hand.",common,Exploit,,Creature
89,Scattered Thoughts,U,4.0,{3}{U},,,,Look at the top four cards of your library. Put two of those cards into your hand and the rest into your graveyard.,common,,,Instant
90,Screaming Swarm,U,6.0,{5}{U},4.0,4.0,,"Flying
Whenever you attack with one or more creatures, target player mills that many cards. (To mill a card, a player puts the top card of their library into their graveyard.)
{2}{U}: Put Screaming Swarm from your graveyard into your library second from the top.",uncommon,"Flying, Mill",,Creature
91,Selhoff Entomber,U,2.0,{1}{U},1.0,3.0,,"{T}, Discard a creature card: Draw a card.",common,,,Creature
92,Serpentine Ambush,U,2.0,{1}{U},,,,"Until end of turn, target creature becomes a blue Serpent with base power and toughness 5/5.",common,,,Instant
93,Skywarp Skaab,U,5.0,{3}{U}{U},2.0,5.0,,"Flying
When Skywarp Skaab enters the battlefield, you may exile two creature cards from your graveyard. If you do, draw a card.",common,Flying,,Creature
94,Soulcipher Board,U,2.0,{1}{U},,,,"Soulcipher Board enters the battlefield with three omen counters on it.
{1}{U}, {T}: Look at the top two cards of your library. Put one of them into your graveyard.
Whenever a creature card is put into your graveyard from anywhere, remove an omen counter from Soulcipher Board. Then if it has no omen counters on it, transform it.",uncommon,Transform,,Artifact
95,Cipherbound Spirit,U,2.0,,3.0,2.0,,"Flying
Cipherbound Spirit can block only creatures with flying.
{3}{U}: Draw two cards, then discard a card.",uncommon,Flying,,Creature
96,Steelclad Spirit,U,2.0,{1}{U},3.0,3.0,,"Defender
Whenever an enchantment enters the battlefield under your control, Steelclad Spirit can attack this turn as though it didn't have defender.",common,Defender,,Creature
97,Stitched Assistant,U,3.0,{2}{U},3.0,2.0,,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
When Stitched Assistant exploits a creature, scry 1, then draw a card. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)",common,"Exploit, Scry",,Creature
98,Stormchaser Drake,U,2.0,{1}{U},2.0,1.0,,"Flying
Whenever Stormchaser Drake becomes the target of a spell you control, draw a card.",uncommon,Flying,,Creature
99,Syncopate,U,1.0,{X}{U},,,,"Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",common,,,Instant
100,Syphon Essence,U,3.0,{2}{U},,,,"Counter target creature or planeswalker spell. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")",common,,,Instant
101,Thirst for Discovery,U,3.0,{2}{U},,,,Draw three cards. Then discard two cards unless you discard a basic land card.,uncommon,,,Instant
102,Wanderlight Spirit,U,3.0,{2}{U},2.0,3.0,,"Flying
Wanderlight Spirit can block only creatures with flying.",common,Flying,,Creature
103,Wash Away,U,1.0,{U},,,,"Cleave {1}{U}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Counter target spell [that wasn't cast from its owner's hand].",uncommon,Cleave,,Instant
104,Whispering Wizard,U,4.0,{3}{U},3.0,2.0,,"Whenever you cast a noncreature spell, create a 1/1 white Spirit creature token with flying. This ability triggers only once each turn.",uncommon,,,Creature
105,Winged Portent,U,3.0,{1}{U}{U},,,,"Cleave {4}{G}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Draw a card for each creature [with flying] you control.",rare,Cleave,,Instant
106,Witness the Future,U,3.0,{2}{U},,,,"Target player shuffles up to four target cards from their graveyard into their library. You look at the top four cards of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.",uncommon,,,Sorcery
107,Wretched Throng,U,2.0,{1}{U},2.0,1.0,,"When Wretched Throng dies, you may search your library for a card named Wretched Throng, reveal it, put it into your hand, then shuffle.",common,,,Creature
108,Aim for the Head,B,3.0,{2}{B},,,,"Choose one —
• Exile target Zombie.
• Target opponent exiles two cards from their hand.",common,,,Sorcery
109,Archghoul of Thraben,B,3.0,{2}{B},3.0,2.0,,"Whenever Archghoul of Thraben or another Zombie you control dies, look at the top card of your library. If it's a Zombie card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",uncommon,,,Creature
110,Bleed Dry,B,4.0,{2}{B}{B},,,,"Target creature gets -13/-13 until end of turn. If that creature would die this turn, exile it instead.",common,,,Instant
111,Blood Fountain,B,1.0,{B},,,,"When Blood Fountain enters the battlefield, create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")
{3}{B}, {T}, Sacrifice Blood Fountain: Return up to two target creature cards from your graveyard to your hand.",common,,,Artifact
112,Bloodcrazed Socialite,B,4.0,{3}{B},3.0,3.0,,"Menace
When Bloodcrazed Socialite enters the battlefield, create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")
Whenever Bloodcrazed Socialite attacks, you may sacrifice a Blood token. If you do, it gets +2/+2 until end of turn.",common,Menace,,Creature
113,Bloodsworn Squire,B,4.0,{3}{B},3.0,3.0,,"{1}{B}, Discard a card: Bloodsworn Squire gains indestructible until end of turn. Tap it. Then if there are four or more creature cards in your graveyard, transform Bloodsworn Squire. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,Transform,,Creature
114,Bloodsworn Knight,B,4.0,,,,,"Bloodsworn Knight's power and toughness are each equal to the number of creature cards in your graveyard.
{1}{B}, Discard a card: Bloodsworn Knight gains indestructible until end of turn. Tap it. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,,,Creature
115,Bloodvial Purveyor,B,4.0,{2}{B}{B},5.0,6.0,,"Flying, trample
Whenever an opponent casts a spell, that player creates a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")
Whenever Bloodvial Purveyor attacks, it gets +1/+0 until end of turn for each Blood token defending player controls.",rare,"Flying, Trample",,Creature
116,Catapult Fodder,B,3.0,{2}{B},1.0,5.0,,"At the beginning of combat on your turn, if you control three or more creatures that each have toughness greater than their power, transform Catapult Fodder.",uncommon,Transform,,Creature
117,Catapult Captain,B,3.0,,2.0,6.0,,"{2}{B}, {T}, Sacrifice another creature: Target opponent loses life equal to the sacrificed creature's toughness.",uncommon,,,Creature
118,Cemetery Desecrator,B,6.0,{4}{B}{B},4.0,4.0,,"Menace
When Cemetery Desecrator enters the battlefield or dies, exile another card from a graveyard. When you do, choose one —
• Remove X counters from target permanent, where X is the mana value of the exiled card.
• Target creature an opponent controls gets -X/-X until end of turn, where X is the mana value of the exiled card.",mythic,Menace,,Creature
119,Concealing Curtains,B,1.0,{B},0.0,4.0,,"Defender
{2}{B}: Transform Concealing Curtains. Activate only as a sorcery.",rare,"Defender, Transform",,Creature
120,Revealing Eye,B,1.0,,3.0,4.0,,"Menace
When this creature transforms into Revealing Eye, target opponent reveals their hand. You may choose a nonland card from it. If you do, that player discards that card, then draws a card.",rare,"Menace, Transform",,Creature
121,Courier Bat,B,3.0,{2}{B},2.0,2.0,,"Flying
When Courier Bat enters the battlefield, if you gained life this turn, return up to one target creature card from your graveyard to your hand.",common,Flying,,Creature
122,Demonic Bargain,B,3.0,{2}{B},,,,"Exile the top thirteen cards of your library, then search your library for a card. Put that card into your hand, then shuffle.",rare,,,Sorcery
123,Desperate Farmer,B,3.0,{2}{B},2.0,2.0,,"Lifelink
When another creature you control dies, transform Desperate Farmer.",common,"Lifelink, Transform",,Creature
124,Depraved Harvester,B,3.0,,4.0,3.0,,Lifelink,common,Lifelink,,Creature
125,Diregraf Scavenger,B,4.0,{3}{B},2.0,3.0,,"Deathtouch
When Diregraf Scavenger enters the battlefield, exile up to one target card from a graveyard. If a creature card was exiled this way, each opponent loses 2 life and you gain 2 life.",common,Deathtouch,,Creature
126,Doomed Dissenter,B,2.0,{1}{B},1.0,1.0,,"When Doomed Dissenter dies, create a 2/2 black Zombie creature token.",common,,,Creature
127,Dread Fugue,B,1.0,{B},,,,"Cleave {2}{B} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Target player reveals their hand. You choose a nonland card from it [with mana value 2 or less]. That player discards that card.",uncommon,Cleave,,Sorcery
128,Dreadfeast Demon,B,7.0,{5}{B}{B},6.0,6.0,,"Flying
At the beginning of your end step, sacrifice a non-Demon creature. If you do, create a token that's a copy of Dreadfeast Demon.",rare,Flying,,Creature
129,Dying to Serve,B,3.0,{2}{B},,,,"Whenever you discard one or more cards, create a tapped 2/2 black Zombie creature token. This ability triggers only once each turn.",rare,,,Enchantment
