,name,colors,manaValue,power,toughness,text,rarity,keywords,supertypes,types,subtypes
28,Aether Poisoner,B,2.0,1.0,1.0,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Aether Poisoner enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Poisoner attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,Deathtouch,,Creature,"Human, Artificer"
29,Alley Strangler,B,3.0,2.0,3.0,Menace,common,Menace,,Creature,"Aetherborn, Rogue"
30,Defiant Salvager,B,3.0,2.0,2.0,Sacrifice an artifact or creature: Put a +1/+1 counter on Defiant Salvager. Activate only as a sorcery.,common,,,Creature,"Aetherborn, Artificer"
31,Fen Hauler,B,7.0,5.0,5.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Fen Hauler can't be blocked by artifact creatures.",common,Improvise,,Creature,Insect
32,Foundry Hornet,B,4.0,2.0,3.0,"Flying
When Foundry Hornet enters the battlefield, if you control a creature with a +1/+1 counter on it, creatures your opponents control get -1/-1 until end of turn.",uncommon,Flying,,Creature,Insect
33,Fourth Bridge Prowler,B,1.0,1.0,1.0,"When Fourth Bridge Prowler enters the battlefield, you may have target creature get -1/-1 until end of turn.",common,,,Creature,"Human, Rogue"
34,Gifted Aetherborn,B,2.0,2.0,3.0,"Deathtouch, lifelink",uncommon,"Deathtouch, Lifelink",,Creature,"Aetherborn, Vampire"
35,Glint-Sleeve Siphoner,B,2.0,2.0,1.0,"Menace
Whenever Glint-Sleeve Siphoner enters the battlefield or attacks, you get {E} (an energy counter).
At the beginning of your upkeep, you may pay {E}{E}. If you do, you draw a card and you lose 1 life.",rare,Menace,,Creature,"Human, Rogue"
36,Herald of Anguish,B,7.0,5.0,5.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Flying
At the beginning of your end step, each opponent discards a card.
{1}{B}, Sacrifice an artifact: Target creature gets -2/-2 until end of turn.",mythic,"Flying, Improvise",,Creature,Demon
37,Ironclad Revolutionary,B,6.0,4.0,4.0,"When Ironclad Revolutionary enters the battlefield, you may sacrifice an artifact. If you do, put two +1/+1 counters on Ironclad Revolutionary and each opponent loses 2 life.",uncommon,,,Creature,"Aetherborn, Artificer"
38,Midnight Entourage,B,4.0,3.0,3.0,"Other Aetherborn you control get +1/+1.
Whenever Midnight Entourage or another Aetherborn you control dies, you draw a card and you lose 1 life.",rare,,,Creature,"Aetherborn, Rogue"
39,Night Market Aeronaut,B,4.0,2.0,2.0,"Flying
Revolt — Night Market Aeronaut enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.",common,"Flying, Revolt",,Creature,"Aetherborn, Warrior"
40,Sly Requisitioner,B,5.0,2.0,2.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Whenever a nontoken artifact you control is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token.",uncommon,Improvise,,Creature,"Human, Artificer"
41,Vengeful Rebel,B,3.0,3.0,2.0,"Revolt — When Vengeful Rebel enters the battlefield, if a permanent you controlled left the battlefield this turn, target creature an opponent controls gets -3/-3 until end of turn.",uncommon,Revolt,,Creature,"Aetherborn, Warrior"
42,"Yahenni, Undying Partisan",B,3.0,2.0,2.0,"Haste
Whenever a creature an opponent controls dies, put a +1/+1 counter on Yahenni, Undying Partisan.
Sacrifice another creature: Yahenni gains indestructible until end of turn.",rare,Haste,Legendary,Creature,"Aetherborn, Vampire"
43,Aether Chaser,R,2.0,2.0,1.0,"First strike
When Aether Chaser enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Chaser attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,First strike,,Creature,"Human, Artificer"
44,Embraal Gear-Smasher,R,3.0,2.0,3.0,"{T}, Sacrifice an artifact: Embraal Gear-Smasher deals 2 damage to each opponent.",common,,,Creature,"Human, Warrior"
45,Enraged Giant,R,6.0,4.0,4.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Trample, haste",uncommon,"Haste, Improvise, Trample",,Creature,Giant
46,Freejam Regent,R,6.0,4.0,4.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Flying
{1}{R}: Freejam Regent gets +2/+0 until end of turn.",rare,"Flying, Improvise",,Creature,Dragon
47,Frontline Rebel,R,3.0,3.0,3.0,Frontline Rebel attacks each combat if able.,common,,,Creature,"Human, Warrior"
48,"Kari Zev, Skyship Raider",R,2.0,1.0,3.0,"First strike, menace
Whenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat.",rare,"First strike, Menace",Legendary,Creature,"Human, Pirate"
49,Lathnu Sailback,R,5.0,5.0,4.0,,common,,,Creature,Lizard
50,Lightning Runner,R,5.0,2.0,2.0,"Double strike, haste
Whenever Lightning Runner attacks, you get {E}{E} (two energy counters), then you may pay {E}{E}{E}{E}{E}{E}{E}{E}. If you pay, untap all creatures you control, and after this phase, there is an additional combat phase.",mythic,"Double strike, Haste",,Creature,"Human, Warrior"
51,Quicksmith Rebel,R,4.0,3.0,2.0,"When Quicksmith Rebel enters the battlefield, target artifact you control gains ""{T}: This artifact deals 2 damage to any target"" for as long as you control Quicksmith Rebel.",rare,,,Creature,"Human, Artificer"
52,Ravenous Intruder,R,2.0,1.0,2.0,Sacrifice an artifact: Ravenous Intruder gets +2/+2 until end of turn.,uncommon,,,Creature,Gremlin
53,Reckless Racer,R,3.0,2.0,3.0,"First strike
Whenever Reckless Racer becomes tapped, you may discard a card. If you do, draw a card.",uncommon,First strike,,Creature,"Human, Pilot"
54,Scrapper Champion,R,4.0,2.0,2.0,"Double strike (This creature deals both first-strike and regular combat damage.)
When Scrapper Champion enters the battlefield, you get {E}{E} (two energy counters).
Whenever Scrapper Champion attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it.",uncommon,Double strike,,Creature,"Human, Artificer"
55,Sweatworks Brawler,R,4.0,3.0,3.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Menace",common,"Improvise, Menace",,Creature,"Human, Artificer"
56,Aether Herder,G,4.0,3.0,3.0,"When Aether Herder enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Herder attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,,,Creature,"Elf, Artificer, Druid"
57,Aetherstream Leopard,G,3.0,2.0,3.0,"Trample
When Aetherstream Leopard enters the battlefield, you get {E} (an energy counter).
Whenever Aetherstream Leopard attacks, you may pay {E}. If you do, it gets +2/+0 until end of turn.",common,Trample,,Creature,Cat
58,Aetherwind Basker,G,7.0,7.0,7.0,"Trample
Whenever Aetherwind Basker enters the battlefield or attacks, you get {E} (an energy counter) for each creature you control.
Pay {E}: Aetherwind Basker gets +1/+1 until end of turn.",mythic,Trample,,Creature,Lizard
59,Druid of the Cowl,G,2.0,1.0,3.0,{T}: Add {G}.,common,,,Creature,"Elf, Druid"
60,Greenbelt Rampager,G,1.0,3.0,4.0,"When Greenbelt Rampager enters the battlefield, pay {E}{E} (two energy counters). If you can't, return Greenbelt Rampager to its owner's hand and you get {E}.",rare,,,Creature,Elephant
61,Greenwheel Liberator,G,2.0,2.0,1.0,Revolt — Greenwheel Liberator enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.,rare,Revolt,,Creature,"Elf, Warrior"
62,Hidden Herbalists,G,2.0,2.0,2.0,"Revolt — When Hidden Herbalists enters the battlefield, if a permanent you controlled left the battlefield this turn, add {G}{G}.",uncommon,Revolt,,Creature,"Human, Druid"
63,Lifecraft Cavalry,G,5.0,4.0,4.0,"Trample
Revolt — Lifecraft Cavalry enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.",common,"Revolt, Trample",,Creature,"Elf, Warrior"
64,Maulfist Revolutionary,G,3.0,3.0,3.0,"Trample
When Maulfist Revolutionary enters the battlefield or dies, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind.",uncommon,Trample,,Creature,"Human, Warrior"
65,Narnam Renegade,G,1.0,1.0,2.0,"Deathtouch
Revolt — Narnam Renegade enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.",uncommon,"Deathtouch, Revolt",,Creature,"Elf, Warrior"
66,Peema Aether-Seer,G,4.0,3.0,2.0,"When Peema Aether-Seer enters the battlefield, you get an amount of {E} (energy counters) equal to the greatest power among creatures you control.
Pay {E}{E}{E}: Target creature blocks this turn if able.",uncommon,,,Creature,"Elf, Druid"
67,Ridgescale Tusker,G,5.0,5.0,5.0,"When Ridgescale Tusker enters the battlefield, put a +1/+1 counter on each other creature you control.",uncommon,,,Creature,"Pangolin, Beast"
68,"Rishkar, Peema Renegade",G,3.0,2.0,2.0,"When Rishkar, Peema Renegade enters the battlefield, put a +1/+1 counter on each of up to two target creatures.
Each creature you control with a counter on it has ""{T}: Add {G}.""",rare,,Legendary,Creature,"Elf, Druid"
69,Scrounging Bandar,G,2.0,0.0,0.0,"Scrounging Bandar enters the battlefield with two +1/+1 counters on it.
At the beginning of your upkeep, you may move any number of +1/+1 counters from Scrounging Bandar onto another target creature.",common,,,Creature,"Cat, Monkey"
70,Silkweaver Elite,G,3.0,2.0,2.0,"Reach (This creature can block creatures with flying.)
Revolt — When Silkweaver Elite enters the battlefield, if a permanent you controlled left the battlefield this turn, draw a card.",common,"Reach, Revolt",,Creature,"Elf, Archer"
71,Maverick Thopterist,"R, U",5.0,2.0,2.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
When Maverick Thopterist enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.",uncommon,Improvise,,Creature,"Human, Artificer"
72,Outland Boar,"G, R",4.0,4.0,4.0,Outland Boar can't be blocked by creatures with power 2 or less.,uncommon,,,Creature,Boar
73,Renegade Rallier,"G, W",3.0,3.0,2.0,"Revolt — When Renegade Rallier enters the battlefield, if a permanent you controlled left the battlefield this turn, return target permanent card with mana value 2 or less from your graveyard to the battlefield.",uncommon,Revolt,,Creature,"Human, Warrior"
74,Renegade Wheelsmith,"R, W",3.0,3.0,2.0,"Whenever Renegade Wheelsmith becomes tapped, target creature can't block this turn.",uncommon,,,Creature,"Dwarf, Pilot"
75,Rogue Refiner,"G, U",3.0,3.0,2.0,"When Rogue Refiner enters the battlefield, draw a card and you get {E}{E} (two energy counters).",uncommon,,,Creature,"Human, Rogue"
76,Spire Patrol,"U, W",4.0,3.0,2.0,"Flying
When Spire Patrol enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",uncommon,Flying,,Creature,"Human, Soldier"
77,Weldfast Engineer,"B, R",3.0,3.0,3.0,"At the beginning of combat on your turn, target artifact creature you control gets +2/+0 until end of turn.",uncommon,,,Creature,"Human, Artificer"
78,Winding Constrictor,"B, G",2.0,2.0,3.0,"If one or more counters would be put on an artifact or creature you control, that many plus one of each of those kinds of counters are put on that permanent instead.
If you would get one or more counters, you get that many plus one of each of those kinds of counters instead.",uncommon,,,Creature,Snake
79,Aegis Automaton,C,2.0,0.0,3.0,{4}{W}: Return another target creature you control to its owner's hand.,common,,,"Artifact, Creature",Construct
80,Augmenting Automaton,C,1.0,1.0,1.0,{1}{B}: Augmenting Automaton gets +1/+1 until end of turn.,common,,,"Artifact, Creature",Construct
81,Barricade Breaker,C,7.0,7.0,5.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Barricade Breaker attacks each combat if able.",uncommon,Improvise,,"Artifact, Creature",Juggernaut
82,Cogwork Assembler,C,3.0,2.0,3.0,{7}: Create a token that's a copy of target artifact. That token gains haste. Exile it at the beginning of the next end step.,uncommon,,,"Artifact, Creature",Assembly-Worker
83,Crackdown Construct,C,4.0,2.0,2.0,"Whenever you activate an ability of an artifact or creature that isn't a mana ability, Crackdown Construct gets +1/+1 until end of turn.",uncommon,,,"Artifact, Creature",Construct
84,Filigree Crawler,C,4.0,2.0,2.0,"When Filigree Crawler dies, create a 1/1 colorless Thopter artifact creature token with flying.",common,,,"Artifact, Creature",Insect
85,Foundry Assembler,C,5.0,3.0,3.0,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.),common,Improvise,,"Artifact, Creature",Assembly-Worker
86,Hope of Ghirapur,C,1.0,1.0,1.0,"Flying
Sacrifice Hope of Ghirapur: Until your next turn, target player who was dealt combat damage by Hope of Ghirapur this turn can't cast noncreature spells.",rare,Flying,Legendary,"Artifact, Creature",Thopter
87,Merchant's Dockhand,C,1.0,1.0,2.0,"{3}{U}, {T}, Tap X untapped artifacts you control: Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.",rare,,,"Artifact, Creature",Construct
88,Metallic Mimic,C,2.0,2.0,1.0,"As Metallic Mimic enters the battlefield, choose a creature type.
Metallic Mimic is the chosen type in addition to its other types.
Each other creature you control of the chosen type enters the battlefield with an additional +1/+1 counter on it.",rare,,,"Artifact, Creature",Shapeshifter
89,Night Market Guard,C,3.0,3.0,1.0,Night Market Guard can block an additional creature each combat.,common,,,"Artifact, Creature",Construct
90,Ornithopter,C,0.0,0.0,2.0,Flying,uncommon,Flying,,"Artifact, Creature",Thopter
91,Prizefighter Construct,C,5.0,6.0,2.0,,common,,,"Artifact, Creature",Construct
92,Reservoir Walker,C,5.0,3.0,3.0,"When Reservoir Walker enters the battlefield, you gain 3 life and get {E}{E}{E} (three energy counters).",common,,,"Artifact, Creature",Construct
93,Scrap Trawler,C,3.0,3.0,2.0,"Whenever Scrap Trawler or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value.",rare,,,"Artifact, Creature",Construct
94,Treasure Keeper,C,4.0,3.0,3.0,"When Treasure Keeper dies, reveal cards from the top of your library until you reveal a nonland card with mana value 3 or less. You may cast that card without paying its mana cost. Put all revealed cards not cast this way on the bottom of your library in a random order.",uncommon,,,"Artifact, Creature",Construct
95,Verdant Automaton,C,2.0,1.0,2.0,{3}{G}: Put a +1/+1 counter on Verdant Automaton.,common,,,"Artifact, Creature",Construct
96,Watchful Automaton,C,3.0,2.0,2.0,{2}{U}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),common,Scry,,"Artifact, Creature",Construct
97,Welder Automaton,C,2.0,2.0,1.0,{3}{R}: Welder Automaton deals 1 damage to each opponent.,common,,,"Artifact, Creature",Construct
98,Ajani's Comrade,G,2.0,2.0,2.0,"Trample
At the beginning of combat on your turn, if you control an Ajani planeswalker, put a +1/+1 counter on Ajani's Comrade.",uncommon,Trample,,Creature,"Elf, Soldier"
99,Tezzeret's Simulacrum,C,3.0,2.0,3.0,"{T}: Target opponent loses 1 life. If you control a Tezzeret planeswalker, that player loses 3 life instead.",uncommon,,,"Artifact, Creature",Golem
100,Arborea Pegasus,W,4.0,2.0,3.0,"Flying
When Arborea Pegasus enters the battlefield, target creature gets +1/+1 and gains flying until end of turn.",common,Flying,,Creature,Pegasus
101,Blink Dog,W,3.0,1.0,1.0,"Double strike
Teleport — {3}{W}: Blink Dog phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)",uncommon,Double strike,,Creature,Dog
102,Celestial Unicorn,W,3.0,3.0,2.0,"Whenever you gain life, put a +1/+1 counter on Celestial Unicorn.",common,,,Creature,Unicorn
103,Cloister Gargoyle,W,3.0,0.0,4.0,"When Cloister Gargoyle enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)
As long as you've completed a dungeon, Cloister Gargoyle gets +3/+0 and has flying.",uncommon,Venture,,"Artifact, Creature",Gargoyle
104,Dawnbringer Cleric,W,2.0,1.0,3.0,"When Dawnbringer Cleric enters the battlefield, choose one —
• Cure Wounds — You gain 2 life.
• Dispel Magic — Destroy target enchantment.
• Gentle Repose — Exile target card from a graveyard.",common,,,Creature,"Human, Cleric"
105,Devoted Paladin,W,5.0,4.0,4.0,"Beacon of Hope — When Devoted Paladin enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",common,,,Creature,"Orc, Knight"
106,Dragon's Disciple,W,2.0,1.0,3.0,"As Dragon's Disciple enters the battlefield, you may reveal a Dragon card from your hand. If you do or if you control a Dragon, Dragon's Disciple enters the battlefield with a +1/+1 counter on it.
Dragons you control have ward {1}. (Whenever a Dragon you control becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",uncommon,,,Creature,"Human, Monk"
107,Dwarfhold Champion,W,2.0,3.0,1.0,"As long as Dwarfhold Champion is equipped, it gets +0/+2.",common,,,Creature,"Dwarf, Warrior"
108,Flumph,W,2.0,0.0,4.0,"Defender, flying
Whenever Flumph is dealt damage, you and target opponent each draw a card.",rare,"Defender, Flying",,Creature,Jellyfish
109,Gloom Stalker,W,3.0,2.0,3.0,"As long as you've completed a dungeon, Gloom Stalker has double strike.",common,,,Creature,"Dwarf, Ranger"
110,Guardian of Faith,W,3.0,3.0,2.0,"Flash
Vigilance
When Guardian of Faith enters the battlefield, any number of other target creatures you control phase out. (Treat them and anything attached to them as though they don't exist until their controller's next turn.)",rare,"Flash, Vigilance",,Creature,"Spirit, Knight"
111,Half-Elf Monk,W,4.0,1.0,4.0,"Vigilance
Stunning Strike — {1}{W}, {T}: Tap target creature.",common,Vigilance,,Creature,"Human, Elf, Monk"
112,"Icingdeath, Frost Tyrant",W,4.0,4.0,3.0,"Flying, vigilance
When Icingdeath, Frost Tyrant dies, create Icingdeath, Frost Tongue, a legendary white Equipment artifact token with ""Equipped creature gets +2/+0,"" ""Whenever equipped creature attacks, tap target creature defending player controls,"" and equip {2}.",mythic,"Flying, Vigilance",Legendary,Creature,Dragon
113,Ingenious Smith,W,2.0,1.0,1.0,"When Ingenious Smith enters the battlefield, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Whenever one or more artifacts enter the battlefield under your control, put a +1/+1 counter on Ingenious Smith. This ability triggers only once each turn.",uncommon,,,Creature,"Human, Artificer"
114,Keen-Eared Sentry,W,2.0,2.0,1.0,"You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Each opponent can't venture into the dungeon more than once each turn.",uncommon,Venture,,Creature,"Human, Soldier"
115,Loyal Warhound,W,2.0,3.0,1.0,"Vigilance
When Loyal Warhound enters the battlefield, if an opponent controls more lands than you, search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.",rare,Vigilance,,Creature,Dog
116,Monk of the Open Hand,W,1.0,1.0,1.0,"Flurry of Blows — Whenever you cast your second spell each turn, put a +1/+1 counter on Monk of the Open Hand.",uncommon,,,Creature,"Elf, Monk"
117,Moon-Blessed Cleric,W,3.0,3.0,2.0,"Divine Intervention — When Moon-Blessed Cleric enters the battlefield, you may search your library for an enchantment card, reveal it, then shuffle and put that card on top.",uncommon,,,Creature,"Human, Elf, Cleric"
118,"Nadaar, Selfless Paladin",W,3.0,3.0,3.0,"Vigilance
Whenever Nadaar, Selfless Paladin enters the battlefield or attacks, venture into the dungeon. (Enter the first room or advance to the next room.)
Other creatures you control get +1/+1 as long as you've completed a dungeon.",rare,"Venture, Vigilance",Legendary,Creature,"Dragon, Knight"
119,Oswald Fiddlebender,W,2.0,2.0,2.0,"Magical Tinkering — {W}, {T}, Sacrifice an artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put it onto the battlefield, then shuffle. Activate only as a sorcery.",rare,,Legendary,Creature,"Gnome, Artificer"
120,Planar Ally,W,5.0,3.0,3.0,"Flying
Whenever Planar Ally attacks, venture into the dungeon. (Enter the first room or advance to the next room.)",common,"Flying, Venture",,Creature,Angel
121,Priest of Ancient Lore,W,3.0,2.0,1.0,"When Priest of Ancient Lore enters the battlefield, you gain 1 life and draw a card.",common,,,Creature,"Dwarf, Cleric"
122,Ranger's Hawk,W,1.0,1.0,1.0,"Flying
{3}, {T}, Tap another untapped creature you control: Venture into the dungeon. Activate only as a sorcery. (Enter the first room or advance to the next room.)",common,"Flying, Venture",,Creature,Bird
123,Steadfast Paladin,W,2.0,2.0,2.0,Lifelink,common,Lifelink,,Creature,"Dwarf, Knight"
124,Veteran Dungeoneer,W,4.0,3.0,4.0,"When Veteran Dungeoneer enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)",common,Venture,,Creature,"Human, Warrior"
125,White Dragon,W,6.0,4.0,4.0,"Flying
Cold Breath — When White Dragon enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",uncommon,Flying,,Creature,Dragon
126,Aberrant Mind Sorcerer,U,5.0,3.0,4.0,"Psionic Spells — When Aberrant Mind Sorcerer enters the battlefield, choose target instant or sorcery card in your graveyard, then roll a d20.
1—9 | You may put that card on top of your library.
10—20 | Return that card to your hand.",uncommon,,,Creature,"Human, Elf, Shaman"
127,Air-Cult Elemental,U,6.0,2.0,5.0,"Flying
Whirlwind — When Air-Cult Elemental enters the battlefield, return up to one other target creature to its owner's hand.",common,Flying,,Creature,Elemental
128,Arcane Investigator,U,2.0,2.0,1.0,"Search the Room — {5}{U}: Roll a d20.
1—9 | Draw a card.
10—20 | Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.",common,,,Creature,"Elf, Wizard"
129,Blue Dragon,U,7.0,5.0,5.0,"Flying
Lightning Breath — When Blue Dragon enters the battlefield, until your next turn, target creature an opponent controls gets -3/-0, up to one other target creature gets -2/-0, and up to one other target creature gets -1/-0.",uncommon,Flying,,Creature,Dragon
130,Clever Conjurer,U,3.0,2.0,3.0,Mage Hand — {T}: Untap target permanent not named Clever Conjurer. Activate only as a sorcery.,common,,,Creature,"Gnome, Wizard"
