,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
23,Summary Judgment,W,2.0,{1}{W},,,,"Summary Judgment deals 3 damage to target tapped creature.
Addendum — If you cast this spell during your main phase, it deals 5 damage instead.",common,Addendum,,Instant,
24,Syndicate Messenger,W,4.0,{3}{W},2.0,3.0,,"Flying
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)",common,"Afterlife, Flying",,Creature,Bird
25,Tenth District Veteran,W,3.0,{2}{W},2.0,3.0,,"Vigilance
Whenever Tenth District Veteran attacks, untap another target creature you control.",common,Vigilance,,Creature,"Human, Soldier"
26,Tithe Taker,W,2.0,{1}{W},2.0,1.0,,"During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)",rare,Afterlife,,Creature,"Human, Soldier"
27,Twilight Panther,W,1.0,{W},1.0,2.0,,{B}: Twilight Panther gains deathtouch until end of turn.,common,,,Creature,"Cat, Spirit"
28,Unbreakable Formation,W,3.0,{2}{W},,,,"Creatures you control gain indestructible until end of turn.
Addendum — If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.",rare,Addendum,,Instant,
29,Watchful Giant,W,6.0,{5}{W},3.0,6.0,,"When Watchful Giant enters the battlefield, create a 1/1 white Human creature token.",common,,,Creature,"Giant, Soldier"
30,Arrester's Admonition,U,3.0,{2}{U},,,,"Return target creature to its owner's hand.
Addendum — If you cast this spell during your main phase, draw a card.",common,Addendum,,Instant,
31,Benthic Biomancer,U,1.0,{U},1.0,1.0,,"{1}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)
Whenever one or more +1/+1 counters are put on Benthic Biomancer, draw a card, then discard a card.",rare,Adapt,,Creature,"Merfolk, Wizard, Mutant"
32,Chillbringer,U,5.0,{4}{U},3.0,3.0,,"Flying
When Chillbringer enters the battlefield, tap target creature an opponent controls. It doesn't untap during its controller's next untap step.",common,Flying,,Creature,Elemental
33,Clear the Mind,U,3.0,{2}{U},,,,"Target player shuffles their graveyard into their library.
Draw a card.",common,,,Sorcery,
34,Code of Constraint,U,3.0,{2}{U},,,,"Target creature gets -4/-0 until end of turn.
Draw a card.
Addendum — If you cast this spell during your main phase, tap that creature and it doesn't untap during its controller's next untap step.",uncommon,Addendum,,Instant,
35,Coral Commando,U,3.0,{2}{U},3.0,2.0,,,common,,,Creature,"Merfolk, Warrior"
36,Essence Capture,U,2.0,{U}{U},,,,Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.,uncommon,,,Instant,
37,Eyes Everywhere,U,3.0,{2}{U},,,,"At the beginning of your upkeep, scry 1.
{5}{U}: Exchange control of Eyes Everywhere and target nonland permanent. Activate only as a sorcery.",uncommon,Scry,,Enchantment,
38,Faerie Duelist,U,2.0,{1}{U},1.0,2.0,,"Flash
Flying
When Faerie Duelist enters the battlefield, target creature an opponent controls gets -2/-0 until end of turn.",common,"Flash, Flying",,Creature,"Faerie, Rogue"
39,Gateway Sneak,U,3.0,{2}{U},1.0,3.0,,"Whenever a Gate enters the battlefield under your control, Gateway Sneak can't be blocked this turn.
Whenever Gateway Sneak deals combat damage to a player, draw a card.",uncommon,,,Creature,"Vedalken, Rogue"
40,Humongulus,U,5.0,{4}{U},2.0,5.0,,Hexproof (This creature can't be the target of spells or abilities your opponents control.),common,Hexproof,,Creature,Homunculus
41,Mesmerizing Benthid,U,5.0,{3}{U}{U},4.0,5.0,,"When Mesmerizing Benthid enters the battlefield, create two 0/2 blue Illusion creature tokens with ""Whenever this creature blocks a creature, that creature doesn't untap during its controller's next untap step.""
Mesmerizing Benthid has hexproof as long as you control an Illusion.",mythic,,,Creature,Octopus
42,Persistent Petitioners,U,2.0,{1}{U},1.0,3.0,,"{1}, {T}: Target player mills a card.
Tap four untapped Advisors you control: Target player mills twelve cards.
A deck can have any number of cards named Persistent Petitioners.",common,Mill,,Creature,"Human, Advisor"
43,Precognitive Perception,U,5.0,{3}{U}{U},,,,"Draw three cards.
Addendum — If you cast this spell during your main phase, instead scry 3, then draw three cards.",rare,"Addendum, Scry",,Instant,
44,Prying Eyes,U,6.0,{4}{U}{U},,,,"Draw four cards, then discard two cards.",common,,,Instant,
45,Pteramander,U,1.0,{U},1.0,1.0,,"Flying
{7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)",uncommon,"Adapt, Flying",,Creature,"Salamander, Drake"
46,Quench,U,2.0,{1}{U},,,,Counter target spell unless its controller pays {2}.,common,,,Instant,
47,Sage's Row Savant,U,2.0,{1}{U},2.0,1.0,,"When Sage's Row Savant enters the battlefield, scry 2.",common,Scry,,Creature,"Vedalken, Wizard"
48,Senate Courier,U,3.0,{2}{U},1.0,4.0,,"Flying
{1}{W}: Senate Courier gains vigilance until end of turn.",common,Flying,,Creature,Bird
49,Shimmer of Possibility,U,2.0,{1}{U},,,,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in a random order.,common,,,Sorcery,
50,Skatewing Spy,U,4.0,{3}{U},2.0,3.0,,"{5}{U}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)
Each creature you control with a +1/+1 counter on it has flying.",uncommon,Adapt,,Creature,"Vedalken, Rogue, Mutant"
51,Skitter Eel,U,4.0,{3}{U},3.0,3.0,,"{2}{U}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)",common,Adapt,,Creature,"Fish, Crab"
52,Slimebind,U,2.0,{1}{U},,,,"Flash
Enchant creature
Enchanted creature gets -4/-0.",common,"Enchant, Flash",,Enchantment,Aura
53,Sphinx of Foresight,U,4.0,{2}{U}{U},4.0,4.0,,"You may reveal this card from your opening hand. If you do, scry 3 at the beginning of your first upkeep.
Flying
At the beginning of your upkeep, scry 1.",rare,"Flying, Scry",,Creature,Sphinx
54,Swirling Torrent,U,6.0,{5}{U},,,,"Choose one or both —
• Put target creature on top of its owner's library.
• Return target creature to its owner's hand.",uncommon,,,Sorcery,
55,Thought Collapse,U,3.0,{1}{U}{U},,,,Counter target spell. Its controller mills three cards.,common,Mill,,Instant,
56,Verity Circle,U,3.0,{2}{U},,,,"Whenever a creature an opponent controls becomes tapped, if it isn't being declared as an attacker, you may draw a card.
{4}{U}: Tap target creature without flying.",rare,,,Enchantment,
57,Wall of Lost Thoughts,U,2.0,{1}{U},0.0,4.0,,"Defender
When Wall of Lost Thoughts enters the battlefield, target player mills four cards.",uncommon,"Defender, Mill",,Creature,Wall
58,Windstorm Drake,U,5.0,{4}{U},3.0,3.0,,"Flying
Other creatures you control with flying get +1/+0.",uncommon,Flying,,Creature,Drake
59,Awaken the Erstwhile,B,5.0,{3}{B}{B},,,,"Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens.",rare,,,Sorcery,
60,Bankrupt in Blood,B,2.0,{1}{B},,,,"As an additional cost to cast this spell, sacrifice two creatures.
Draw three cards.",uncommon,,,Sorcery,
61,Blade Juggler,B,5.0,{4}{B},3.0,2.0,,"Spectacle {2}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
When Blade Juggler enters the battlefield, it deals 1 damage to you and you draw a card.",common,Spectacle,,Creature,"Human, Rogue"
62,Bladebrand,B,2.0,{1}{B},,,,"Target creature gains deathtouch until end of turn.
Draw a card.",common,,,Instant,
63,Bloodmist Infiltrator,B,3.0,{2}{B},3.0,1.0,,"Whenever Bloodmist Infiltrator attacks, you may sacrifice another creature. If you do, Bloodmist Infiltrator can't be blocked this turn.",uncommon,,,Creature,Vampire
64,Carrion Imp,B,4.0,{3}{B},2.0,3.0,,"Flying
When Carrion Imp enters the battlefield, you may exile target creature card from a graveyard. If you do, you gain 2 life.",common,Flying,,Creature,Imp
65,Catacomb Crocodile,B,5.0,{4}{B},3.0,7.0,,,common,,,Creature,Crocodile
66,Clear the Stage,B,5.0,{4}{B},,,,"Target creature gets -3/-3 until end of turn. If you control a creature with power 4 or greater, you may return up to one target creature card from your graveyard to your hand.",uncommon,,,Instant,
67,Consign to the Pit,B,6.0,{5}{B},,,,Destroy target creature. Consign to the Pit deals 2 damage to that creature's controller.,common,,,Sorcery,
68,Cry of the Carnarium,B,3.0,{1}{B}{B},,,,"All creatures get -2/-2 until end of turn. Exile all creature cards in all graveyards that were put there from the battlefield this turn. If a creature would die this turn, exile it instead.",uncommon,,,Sorcery,
69,Dead Revels,B,4.0,{3}{B},,,,"Spectacle {1}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Return up to two target creature cards from your graveyard to your hand.",common,Spectacle,,Sorcery,
70,Debtors' Transport,B,6.0,{5}{B},5.0,3.0,,"Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)",common,Afterlife,,Creature,Thrull
71,Drill Bit,B,3.0,{2}{B},,,,"Spectacle {B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Target player reveals their hand. You choose a nonland card from it. That player discards that card.",uncommon,Spectacle,,Sorcery,
72,Font of Agonies,B,1.0,{B},,,,"Whenever you pay life, put that many blood counters on Font of Agonies.
{1}{B}, Remove four blood counters from Font of Agonies: Destroy target creature.",rare,,,Enchantment,
73,Grotesque Demise,B,3.0,{2}{B},,,,Exile target creature with power 3 or less.,common,,,Instant,
74,Gutterbones,B,1.0,{B},2.0,1.0,,"Gutterbones enters the battlefield tapped.
{1}{B}: Return Gutterbones from your graveyard to your hand. Activate only during your turn and only if an opponent lost life this turn.",rare,,,Creature,"Skeleton, Warrior"
75,Ill-Gotten Inheritance,B,4.0,{3}{B},,,,"At the beginning of your upkeep, Ill-Gotten Inheritance deals 1 damage to each opponent and you gain 1 life.
{5}{B}, Sacrifice Ill-Gotten Inheritance: It deals 4 damage to target opponent and you gain 4 life.",common,,,Enchantment,
76,Noxious Groodion,B,3.0,{2}{B},2.0,2.0,,Deathtouch,common,Deathtouch,,Creature,Beast
77,Orzhov Enforcer,B,2.0,{1}{B},1.0,2.0,,"Deathtouch
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)",uncommon,"Afterlife, Deathtouch",,Creature,"Human, Rogue"
78,Orzhov Racketeers,B,5.0,{4}{B},3.0,2.0,,"Whenever Orzhov Racketeers deals combat damage to a player, that player discards a card.
Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)",uncommon,Afterlife,,Creature,"Human, Rogue"
79,Pestilent Spirit,B,3.0,{2}{B},3.0,2.0,,"Menace, deathtouch
Instant and sorcery spells you control have deathtouch. (Any amount of damage they deal to a creature is enough to destroy it.)",rare,"Deathtouch, Menace",,Creature,Spirit
80,Plague Wight,B,2.0,{1}{B},2.0,1.0,,"Whenever Plague Wight becomes blocked, each creature blocking it gets -1/-1 until end of turn.",common,,,Creature,Zombie
81,Priest of Forgotten Gods,B,2.0,{1}{B},1.0,2.0,,"{T}, Sacrifice two other creatures: Any number of target players each lose 2 life and sacrifice a creature. You add {B}{B} and draw a card.",rare,,,Creature,"Human, Cleric"
82,Rakdos Trumpeter,B,2.0,{1}{B},1.0,3.0,,"Menace (This creature can't be blocked except by two or more creatures.)
{3}{R}: Rakdos Trumpeter gets +2/+0 until end of turn.",common,Menace,,Creature,"Human, Shaman"
83,Spawn of Mayhem,B,4.0,{2}{B}{B},4.0,4.0,,"Spectacle {1}{B}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Flying, trample
At the beginning of your upkeep, Spawn of Mayhem deals 1 damage to each player. Then if you have 10 or less life, put a +1/+1 counter on Spawn of Mayhem.",mythic,"Flying, Spectacle, Trample",,Creature,Demon
84,Spire Mangler,B,3.0,{2}{B},2.0,1.0,,"Flash
Flying
When Spire Mangler enters the battlefield, target creature with flying you control gets +2/+0 until end of turn.",uncommon,"Flash, Flying",,Creature,Insect
85,Thirsting Shade,B,1.0,{B},1.0,1.0,,"Lifelink
{2}{B}: Thirsting Shade gets +1/+1 until end of turn.",common,Lifelink,,Creature,Shade
86,Undercity Scavenger,B,4.0,{3}{B},3.0,3.0,,"When Undercity Scavenger enters the battlefield, you may sacrifice another creature. If you do, put two +1/+1 counters on Undercity Scavenger, then scry 2.",common,Scry,,Creature,"Ogre, Warrior"
87,Undercity's Embrace,B,3.0,{2}{B},,,,"Target opponent sacrifices a creature. If you control a creature with power 4 or greater, you gain 4 life.",common,,,Instant,
88,Vindictive Vampire,B,4.0,{3}{B},2.0,3.0,,"Whenever another creature you control dies, Vindictive Vampire deals 1 damage to each opponent and you gain 1 life.",uncommon,,,Creature,Vampire
89,Act of Treason,R,3.0,{2}{R},,,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),common,,,Sorcery,
90,Amplifire,R,4.0,{2}{R}{R},1.0,1.0,,"At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order.",rare,,,Creature,Elemental
91,Burn Bright,R,3.0,{2}{R},,,,Creatures you control get +2/+0 until end of turn.,common,,,Instant,
92,Burning-Tree Vandal,R,3.0,{2}{R},2.0,1.0,,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Burning-Tree Vandal attacks, you may discard a card. If you do, draw a card.",common,Riot,,Creature,"Human, Rogue"
93,Cavalcade of Calamity,R,2.0,{1}{R},,,,"Whenever a creature you control with power 1 or less attacks, Cavalcade of Calamity deals 1 damage to the player or planeswalker that creature is attacking.",uncommon,,,Enchantment,
94,Clamor Shaman,R,3.0,{2}{R},1.0,1.0,,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Clamor Shaman attacks, target creature an opponent controls can't block this turn.",uncommon,Riot,,Creature,"Goblin, Shaman"
95,Dagger Caster,R,4.0,{3}{R},2.0,3.0,,"When Dagger Caster enters the battlefield, it deals 1 damage to each opponent and 1 damage to each creature your opponents control.",uncommon,,,Creature,"Viashino, Rogue"
96,Deface,R,1.0,{R},,,,"Choose one —
• Destroy target artifact.
• Destroy target creature with defender.",common,,,Sorcery,
97,Feral Maaka,R,2.0,{1}{R},2.0,2.0,,,common,,,Creature,Cat
98,Flames of the Raze-Boar,R,6.0,{5}{R},,,,Flames of the Raze-Boar deals 4 damage to target creature an opponent controls. Then Flames of the Raze-Boar deals 2 damage to each other creature that player controls if you control a creature with power 4 or greater.,uncommon,,,Instant,
99,Gates Ablaze,R,3.0,{2}{R},,,,"Gates Ablaze deals X damage to each creature, where X is the number of Gates you control.",uncommon,,,Sorcery,
100,Ghor-Clan Wrecker,R,4.0,{3}{R},2.0,2.0,,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Menace (This creature can't be blocked except by two or more creatures.)",common,"Menace, Riot",,Creature,"Human, Warrior"
101,Goblin Gathering,R,3.0,{2}{R},,,,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.,common,,,Sorcery,
102,Gravel-Hide Goblin,R,2.0,{1}{R},2.0,1.0,,{3}{G}: Gravel-Hide Goblin gets +2/+2 until end of turn.,common,,,Creature,"Goblin, Shaman"
103,Immolation Shaman,R,2.0,{1}{R},1.0,3.0,,"Whenever an opponent activates an ability of an artifact, creature, or land that isn't a mana ability, Immolation Shaman deals 1 damage to that player.
{3}{R}{R}: Immolation Shaman gets +3/+3 and gains menace until end of turn.",rare,,,Creature,"Viashino, Shaman"
104,Light Up the Stage,R,3.0,{2}{R},,,,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Exile the top two cards of your library. Until the end of your next turn, you may play those cards.",uncommon,Spectacle,,Sorcery,
105,Mirror March,R,6.0,{5}{R},,,,"Whenever a nontoken creature enters the battlefield under your control, flip a coin until you lose a flip. For each flip you won, create a token that's a copy of that creature. Those tokens gain haste. Exile them at the beginning of the next end step.",rare,,,Enchantment,
106,Rix Maadi Reveler,R,2.0,{1}{R},2.0,2.0,,"Spectacle {2}{B}{R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
When Rix Maadi Reveler enters the battlefield, discard a card, then draw a card. If Rix Maadi Reveler's spectacle cost was paid, instead discard your hand, then draw three cards.",rare,Spectacle,,Creature,"Human, Shaman"
107,Rubble Reading,R,4.0,{3}{R},,,,Destroy target land. Scry 2.,common,Scry,,Sorcery,
108,Rubblebelt Recluse,R,5.0,{4}{R},6.0,5.0,,Rubblebelt Recluse attacks each combat if able.,common,,,Creature,"Ogre, Berserker"
109,Rumbling Ruin,R,6.0,{5}{R},6.0,6.0,,"When Rumbling Ruin enters the battlefield, count the number of +1/+1 counters on creatures you control. Creatures your opponents control with power less than or equal to that number can't block this turn.",uncommon,,,Creature,Elemental
110,Scorchmark,R,2.0,{1}{R},,,,"Scorchmark deals 2 damage to target creature. If that creature would die this turn, exile it instead.",common,,,Instant,
111,Skarrgan Hellkite,R,5.0,{3}{R}{R},4.0,4.0,,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Flying
{3}{R}: Skarrgan Hellkite deals 2 damage divided as you choose among one or two targets. Activate only if Skarrgan Hellkite has a +1/+1 counter on it.",mythic,"Flying, Riot",,Creature,Dragon
112,Skewer the Critics,R,3.0,{2}{R},,,,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Skewer the Critics deals 3 damage to any target.",common,Spectacle,,Sorcery,
113,Smelt-Ward Ignus,R,2.0,{1}{R},2.0,1.0,,"{2}{R}, Sacrifice Smelt-Ward Ignus: Gain control of target creature with power 3 or less until end of turn. Untap that creature. It gains haste until end of turn. Activate only as a sorcery.",uncommon,,,Creature,Elemental
114,Spear Spewer,R,1.0,{R},0.0,2.0,,"Defender
{T}: Spear Spewer deals 1 damage to each player.",common,Defender,,Creature,"Goblin, Warrior"
115,Spikewheel Acrobat,R,4.0,{3}{R},5.0,2.0,,Spectacle {2}{R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.),common,Spectacle,,Creature,"Human, Rogue"
116,Storm Strike,R,1.0,{R},,,,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.,common,Scry,,Instant,
117,Tin Street Dodger,R,1.0,{R},1.0,1.0,,"Haste
{R}: Tin Street Dodger can't be blocked this turn except by creatures with defender.",uncommon,Haste,,Creature,"Goblin, Rogue"
118,Axebane Beast,G,4.0,{3}{G},3.0,4.0,,,common,,,Creature,Beast
119,Biogenic Ooze,G,5.0,{3}{G}{G},2.0,2.0,,"When Biogenic Ooze enters the battlefield, create a 2/2 green Ooze creature token.
At the beginning of your end step, put a +1/+1 counter on each Ooze you control.
{1}{G}{G}{G}: Create a 2/2 green Ooze creature token.",mythic,,,Creature,Ooze
120,Biogenic Upgrade,G,6.0,{4}{G}{G},,,,"Distribute three +1/+1 counters among one, two, or three target creatures, then double the number of +1/+1 counters on each of those creatures.",uncommon,,,Sorcery,
121,End-Raze Forerunners,G,8.0,{5}{G}{G}{G},7.0,7.0,,"Vigilance, trample, haste
When End-Raze Forerunners enters the battlefield, other creatures you control get +2/+2 and gain vigilance and trample until end of turn.",rare,"Haste, Trample, Vigilance",,Creature,Boar
122,Enraged Ceratok,G,4.0,{2}{G}{G},4.0,4.0,,Enraged Ceratok can't be blocked by creatures with power 2 or less.,uncommon,,,Creature,Rhino
123,Gatebreaker Ram,G,3.0,{2}{G},2.0,2.0,,"Gatebreaker Ram gets +1/+1 for each Gate you control.
As long as you control two or more Gates, Gatebreaker Ram has vigilance and trample.",uncommon,,,Creature,Sheep
124,Gift of Strength,G,2.0,{1}{G},,,,Target creature gets +3/+3 and gains reach until end of turn.,common,,,Instant,
125,Growth-Chamber Guardian,G,2.0,{1}{G},2.0,2.0,,"{2}{G}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)
Whenever one or more +1/+1 counters are put on Growth-Chamber Guardian, you may search your library for a card named Growth-Chamber Guardian, reveal it, put it into your hand, then shuffle.",rare,Adapt,,Creature,"Elf, Crab, Warrior"
126,Gruul Beastmaster,G,4.0,{3}{G},2.0,2.0,,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Gruul Beastmaster attacks, another target creature you control gets +X/+0 until end of turn, where X is Gruul Beastmaster's power.",uncommon,Riot,,Creature,"Human, Shaman"
127,Guardian Project,G,4.0,{3}{G},,,,"Whenever a nontoken creature enters the battlefield under your control, if it doesn't have the same name as another creature you control or a creature card in your graveyard, draw a card.",rare,,,Enchantment,
128,Incubation Druid,G,2.0,{1}{G},0.0,2.0,,"{T}: Add one mana of any type that a land you control could produce. If Incubation Druid has a +1/+1 counter on it, add three mana of that type instead.
{3}{G}{G}: Adapt 3. (If this creature has no +1/+1 counters on it, put three +1/+1 counters on it.)",rare,Adapt,,Creature,"Elf, Druid"
129,Mammoth Spider,G,5.0,{4}{G},3.0,5.0,,Reach (This creature can block creatures with flying.),common,Reach,,Creature,Spider
130,Open the Gates,G,1.0,{G},,,,"Search your library for a basic land card or Gate card, reveal it, put it into your hand, then shuffle.",common,,,Sorcery,
131,Rampage of the Clans,G,4.0,{3}{G},,,,"Destroy all artifacts and enchantments. For each permanent destroyed this way, its controller creates a 3/3 green Centaur creature token.",rare,,,Instant,
132,Rampaging Rendhorn,G,5.0,{4}{G},4.0,4.0,,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.),common,Riot,,Creature,Beast
133,Regenesis,G,5.0,{3}{G}{G},,,,Return up to two target permanent cards from your graveyard to your hand.,uncommon,,,Instant,
134,Root Snare,G,2.0,{1}{G},,,,Prevent all combat damage that would be dealt this turn.,common,,,Instant,
135,Sagittars' Volley,G,3.0,{2}{G},,,,Destroy target creature with flying. Sagittars' Volley deals 1 damage to each creature with flying your opponents control.,common,,,Instant,
136,Saruli Caretaker,G,1.0,{G},0.0,3.0,,"Defender
{T}, Tap an untapped creature you control: Add one mana of any color.",common,Defender,,Creature,Dryad
137,Sauroform Hybrid,G,2.0,{1}{G},2.0,2.0,,"{4}{G}{G}: Adapt 4. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)",common,Adapt,,Creature,"Human, Lizard, Warrior"
138,Silhana Wayfinder,G,2.0,{1}{G},2.0,1.0,,"When Silhana Wayfinder enters the battlefield, look at the top four cards of your library. You may reveal a creature or land card from among them and put it on top of your library. Put the rest on the bottom of your library in a random order.",uncommon,,,Creature,"Elf, Scout"
139,Steeple Creeper,G,3.0,{2}{G},4.0,2.0,,{3}{U}: Steeple Creeper gains flying until end of turn.,common,,,Creature,"Frog, Snake"
140,Stony Strength,G,1.0,{G},,,,Put a +1/+1 counter on target creature you control. Untap that creature.,common,,,Instant,
141,Sylvan Brushstrider,G,3.0,{2}{G},3.0,2.0,,"When Sylvan Brushstrider enters the battlefield, you gain 2 life.",common,,,Creature,Beast
142,Territorial Boar,G,2.0,{1}{G},2.0,2.0,,"Whenever a creature with power 4 or greater enters the battlefield under your control, Territorial Boar gets +1/+1 and gains vigilance until end of turn.",common,,,Creature,Boar
143,Titanic Brawl,G,2.0,{1}{G},,,,"This spell costs {1} less to cast if it targets a creature you control with a +1/+1 counter on it.
Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)",common,Fight,,Instant,
