,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
26,Sacred Cat,W,1.0,{W},1.0,1.0,,"Lifelink
Embalm {W} ({W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Cat with no mana cost. Embalm only as a sorcery.)",common,"Embalm, Lifelink",,Creature
27,Seraph of the Suns,W,7.0,{5}{W}{W},4.0,4.0,,"Flying
Indestructible (Damage and effects that say ""destroy"" don't destroy this creature. If its toughness is 0 or less, it's still put into its owner's graveyard.)",uncommon,"Flying, Indestructible",,Creature
28,Sparring Mummy,W,4.0,{3}{W},3.0,3.0,,"When Sparring Mummy enters the battlefield, untap target creature.",common,,,Creature
29,Supply Caravan,W,5.0,{4}{W},3.0,5.0,,"When Supply Caravan enters the battlefield, if you control a tapped creature, create a 1/1 white Warrior creature token with vigilance.",common,,,Creature
30,Tah-Crop Elite,W,4.0,{3}{W},2.0,2.0,,"Flying
You may exert Tah-Crop Elite as it attacks. When you do, creatures you control get +1/+1 until end of turn. (An exerted creature won't untap during your next untap step.)",common,"Exert, Flying",,Creature
31,Those Who Serve,W,3.0,{2}{W},2.0,4.0,,,common,,,Creature
32,Time to Reflect,W,1.0,{W},,,,Exile target creature that blocked or was blocked by a Zombie this turn.,uncommon,,,Instant
33,Trial of Solidarity,W,3.0,{2}{W},,,,"When Trial of Solidarity enters the battlefield, creatures you control get +2/+1 and gain vigilance until end of turn.
When a Cartouche enters the battlefield under your control, return Trial of Solidarity to its owner's hand.",uncommon,,,Enchantment
34,Trueheart Duelist,W,2.0,{1}{W},2.0,2.0,,"Trueheart Duelist can block an additional creature each combat.
Embalm {2}{W} ({2}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Warrior with no mana cost. Embalm only as a sorcery.)",uncommon,Embalm,,Creature
35,Unwavering Initiate,W,3.0,{2}{W},3.0,2.0,,"Vigilance
Embalm {4}{W} ({4}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Warrior with no mana cost. Embalm only as a sorcery.)",common,"Embalm, Vigilance",,Creature
36,Vizier of Deferment,W,3.0,{2}{W},2.0,2.0,,"Flash
When Vizier of Deferment enters the battlefield, you may exile target creature if it attacked or blocked this turn. Return that card to the battlefield under its owner's control at the beginning of the next end step.",uncommon,Flash,,Creature
37,Vizier of Remedies,W,2.0,{1}{W},2.0,1.0,,"If one or more -1/-1 counters would be put on a creature you control, that many -1/-1 counters minus one are put on it instead.",uncommon,,,Creature
38,Winged Shepherd,W,6.0,{5}{W},3.0,3.0,,"Flying, vigilance
Cycling {W} ({W}, Discard this card: Draw a card.)",common,"Cycling, Flying, Vigilance",,Creature
39,Ancient Crab,U,3.0,{1}{U}{U},1.0,5.0,,,common,,,Creature
40,Angler Drake,U,6.0,{4}{U}{U},4.0,4.0,,"Flying
When Angler Drake enters the battlefield, you may return target creature to its owner's hand.",uncommon,Flying,,Creature
41,As Foretold,U,3.0,{2}{U},,,,"At the beginning of your upkeep, put a time counter on As Foretold.
Once each turn, you may pay {0} rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on As Foretold.",mythic,,,Enchantment
42,Aven Initiate,U,4.0,{3}{U},3.0,2.0,,"Flying
Embalm {6}{U} ({6}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Warrior with no mana cost. Embalm only as a sorcery.)",common,"Embalm, Flying",,Creature
43,Cancel,U,3.0,{1}{U}{U},,,,Counter target spell.,common,,,Instant
44,Cartouche of Knowledge,U,2.0,{1}{U},,,,"Enchant creature you control
When Cartouche of Knowledge enters the battlefield, draw a card.
Enchanted creature gets +1/+1 and has flying.",common,Enchant,,Enchantment
45,Censor,U,2.0,{1}{U},,,,"Counter target spell unless its controller pays {1}.
Cycling {U} ({U}, Discard this card: Draw a card.)",uncommon,Cycling,,Instant
46,Compelling Argument,U,2.0,{1}{U},,,,"Target player mills five cards.
Cycling {U} ({U}, Discard this card: Draw a card.)",common,"Cycling, Mill",,Sorcery
47,Cryptic Serpent,U,7.0,{5}{U}{U},6.0,5.0,,This spell costs {1} less to cast for each instant and sorcery card in your graveyard.,uncommon,,,Creature
48,Curator of Mysteries,U,4.0,{2}{U}{U},4.0,4.0,,"Flying
Whenever you cycle or discard another card, scry 1.
Cycling {U} ({U}, Discard this card: Draw a card.)",rare,"Cycling, Flying, Scry",,Creature
49,Decision Paralysis,U,4.0,{3}{U},,,,Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.,common,,,Instant
50,Drake Haven,U,3.0,{2}{U},,,,"Whenever you cycle or discard a card, you may pay {1}. If you do, create a 2/2 blue Drake creature token with flying.",rare,,,Enchantment
51,Essence Scatter,U,2.0,{1}{U},,,,Counter target creature spell.,common,,,Instant
52,Floodwaters,U,6.0,{4}{U}{U},,,,"Return up to two target creatures to their owners' hands.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Sorcery
53,Galestrike,U,3.0,{2}{U},,,,"Return target tapped creature to its owner's hand.
Draw a card.",uncommon,,,Instant
54,Glyph Keeper,U,5.0,{3}{U}{U},5.0,3.0,,"Flying
Whenever Glyph Keeper becomes the target of a spell or ability for the first time each turn, counter that spell or ability.
Embalm {5}{U}{U} ({5}{U}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Sphinx with no mana cost. Embalm only as a sorcery.)",rare,"Embalm, Flying",,Creature
55,Hekma Sentinels,U,3.0,{2}{U},2.0,3.0,,"Whenever you cycle or discard a card, Hekma Sentinels gets +1/+1 until end of turn.",common,,,Creature
56,Hieroglyphic Illumination,U,4.0,{3}{U},,,,"Draw two cards.
Cycling {U} ({U}, Discard this card: Draw a card.)",common,Cycling,,Instant
57,Illusory Wrappings,U,3.0,{2}{U},,,,"Enchant creature
Enchanted creature has base power and toughness 0/2.",common,Enchant,,Enchantment
58,Kefnet the Mindful,U,3.0,{2}{U},5.0,5.0,,"Flying, indestructible
Kefnet the Mindful can't attack or block unless you have seven or more cards in hand.
{3}{U}: Draw a card, then you may return a land you control to its owner's hand.",mythic,"Flying, Indestructible",Legendary,Creature
59,Labyrinth Guardian,U,2.0,{1}{U},2.0,3.0,,"When Labyrinth Guardian becomes the target of a spell, sacrifice it.
Embalm {3}{U} ({3}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Illusion Warrior with no mana cost. Embalm only as a sorcery.)",uncommon,Embalm,,Creature
60,Lay Claim,U,7.0,{5}{U}{U},,,,"Enchant permanent
You control enchanted permanent.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,"Cycling, Enchant",,Enchantment
61,Naga Oracle,U,4.0,{3}{U},2.0,4.0,,"When Naga Oracle enters the battlefield, look at the top three cards of your library. Put any number of them into your graveyard and the rest back on top of your library in any order.",common,,,Creature
62,New Perspectives,U,6.0,{5}{U},,,,"When New Perspectives enters the battlefield, draw three cards.
As long as you have seven or more cards in hand, you may pay {0} rather than pay cycling costs.",rare,,,Enchantment
63,Open into Wonder,U,2.0,{X}{U}{U},,,,"X target creatures can't be blocked this turn. Until end of turn, those creatures gain ""Whenever this creature deals combat damage to a player, draw a card.""",uncommon,,,Sorcery
64,Pull from Tomorrow,U,2.0,{X}{U}{U},,,,"Draw X cards, then discard a card.",rare,,,Instant
65,River Serpent,U,6.0,{5}{U},5.0,5.0,,"River Serpent can't attack unless there are five or more cards in your graveyard.
Cycling {U} ({U}, Discard this card: Draw a card.)",common,Cycling,,Creature
66,Sacred Excavation,U,4.0,{3}{U},,,,Return up to two target cards with cycling from your graveyard to your hand.,uncommon,,,Sorcery
67,Scribe of the Mindful,U,3.0,{2}{U},2.0,2.0,,"{1}, {T}, Sacrifice Scribe of the Mindful: Return target instant or sorcery card from your graveyard to your hand.",common,,,Creature
68,Seeker of Insight,U,2.0,{1}{U},1.0,3.0,,"{T}: Draw a card, then discard a card. Activate only if you've cast a noncreature spell this turn.",common,,,Creature
69,Shimmerscale Drake,U,5.0,{4}{U},3.0,4.0,,"Flying
Cycling {2} ({2}, Discard this card: Draw a card.)",common,"Cycling, Flying",,Creature
70,Slither Blade,U,1.0,{U},1.0,2.0,,Slither Blade can't be blocked.,common,,,Creature
71,Tah-Crop Skirmisher,U,2.0,{1}{U},2.0,1.0,,"Embalm {3}{U} ({3}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Naga Warrior with no mana cost. Embalm only as a sorcery.)",common,Embalm,,Creature
72,Trial of Knowledge,U,4.0,{3}{U},,,,"When Trial of Knowledge enters the battlefield, draw three cards, then discard a card.
When a Cartouche enters the battlefield under your control, return Trial of Knowledge to its owner's hand.",uncommon,,,Enchantment
73,Vizier of Many Faces,U,4.0,{2}{U}{U},0.0,0.0,,"You may have Vizier of Many Faces enter the battlefield as a copy of any creature on the battlefield, except if Vizier of Many Faces was embalmed, the token has no mana cost, it's white, and it's a Zombie in addition to its other types.
Embalm {3}{U}{U}",rare,Embalm,,Creature
74,Vizier of Tumbling Sands,U,3.0,{2}{U},1.0,3.0,,"{T}: Untap another target permanent.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Vizier of Tumbling Sands, untap target permanent.",uncommon,Cycling,,Creature
75,Winds of Rebuke,U,2.0,{1}{U},,,,Return target nonland permanent to its owner's hand. Each player mills two cards.,common,Mill,,Instant
76,Zenith Seeker,U,4.0,{3}{U},2.0,2.0,,"Flying
Whenever you cycle or discard a card, target creature gains flying until end of turn.",uncommon,Flying,,Creature
77,Archfiend of Ifnir,B,5.0,{3}{B}{B},5.0,4.0,,"Flying
Whenever you cycle or discard another card, put a -1/-1 counter on each creature your opponents control.
Cycling {2} ({2}, Discard this card: Draw a card.)",rare,"Cycling, Flying",,Creature
78,Baleful Ammit,B,3.0,{2}{B},4.0,3.0,,"Lifelink
When Baleful Ammit enters the battlefield, put a -1/-1 counter on target creature you control.",uncommon,Lifelink,,Creature
79,Blighted Bat,B,3.0,{2}{B},2.0,1.0,,"Flying
{1}: Blighted Bat gains haste until end of turn.",common,Flying,,Creature
80,Bone Picker,B,4.0,{3}{B},3.0,2.0,,"This spell costs {3} less to cast if a creature died this turn.
Flying, deathtouch",uncommon,"Deathtouch, Flying",,Creature
81,Bontu the Glorified,B,3.0,{2}{B},4.0,6.0,,"Menace, indestructible
Bontu the Glorified can't attack or block unless a creature died under your control this turn.
{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life.",mythic,"Indestructible, Menace, Scry",Legendary,Creature
82,Cartouche of Ambition,B,3.0,{2}{B},,,,"Enchant creature you control
When Cartouche of Ambition enters the battlefield, you may put a -1/-1 counter on target creature.
Enchanted creature gets +1/+1 and has lifelink.",common,Enchant,,Enchantment
83,Cruel Reality,B,7.0,{5}{B}{B},,,,"Enchant player
At the beginning of enchanted player's upkeep, that player sacrifices a creature or planeswalker. If the player can't, they lose 5 life.",mythic,Enchant,,Enchantment
84,Cursed Minotaur,B,3.0,{2}{B},3.0,2.0,,Menace (This creature can't be blocked except by two or more creatures.),common,Menace,,Creature
85,Dispossess,B,3.0,{2}{B},,,,"Choose an artifact card name. Search target opponent's graveyard, hand, and library for any number of cards with the chosen name and exile them. Then that player shuffles.",rare,,,Sorcery
86,Doomed Dissenter,B,2.0,{1}{B},1.0,1.0,,"When Doomed Dissenter dies, create a 2/2 black Zombie creature token.",common,,,Creature
87,Dread Wanderer,B,1.0,{B},2.0,1.0,,"Dread Wanderer enters the battlefield tapped.
{2}{B}: Return Dread Wanderer from your graveyard to the battlefield. Activate only as a sorcery and only if you have one or fewer cards in hand.",rare,,,Creature
88,Dune Beetle,B,2.0,{1}{B},1.0,4.0,,,common,,,Creature
89,Faith of the Devoted,B,3.0,{2}{B},,,,"Whenever you cycle or discard a card, you may pay {1}. If you do, each opponent loses 2 life and you gain 2 life.",uncommon,,,Enchantment
90,Festering Mummy,B,1.0,{B},1.0,1.0,,"When Festering Mummy dies, you may put a -1/-1 counter on target creature.",common,,,Creature
91,Final Reward,B,5.0,{4}{B},,,,Exile target creature.,common,,,Instant
92,Gravedigger,B,4.0,{3}{B},2.0,2.0,,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",uncommon,,,Creature
93,Grim Strider,B,4.0,{3}{B},6.0,6.0,,Grim Strider gets -1/-1 for each card in your hand.,uncommon,,,Creature
94,Horror of the Broken Lands,B,5.0,{4}{B},4.0,4.0,,"Whenever you cycle or discard another card, Horror of the Broken Lands gets +2/+1 until end of turn.
Cycling {B} ({B}, Discard this card: Draw a card.)",common,Cycling,,Creature
95,Lay Bare the Heart,B,2.0,{1}{B},,,,"Target opponent reveals their hand. You choose a nonlegendary, nonland card from it. That player discards that card.",uncommon,,,Sorcery
96,"Liliana, Death's Majesty",B,5.0,{3}{B}{B},,,5.0,"[+1]: Create a 2/2 black Zombie creature token. Mill two cards.
[−3]: Return target creature card from your graveyard to the battlefield. That creature is a black Zombie in addition to its other colors and types.
[−7]: Destroy all non-Zombie creatures.",mythic,Mill,Legendary,Planeswalker
97,Liliana's Mastery,B,5.0,{3}{B}{B},,,,"Zombies you control get +1/+1.
When Liliana's Mastery enters the battlefield, create two 2/2 black Zombie creature tokens.",rare,,,Enchantment
98,Lord of the Accursed,B,3.0,{2}{B},2.0,3.0,,"Other Zombies you control get +1/+1.
{1}{B}, {T}: All Zombies gain menace until end of turn.",uncommon,,,Creature
99,Miasmic Mummy,B,2.0,{1}{B},2.0,2.0,,"When Miasmic Mummy enters the battlefield, each player discards a card.",common,,,Creature
100,Nest of Scarabs,B,3.0,{2}{B},,,,"Whenever you put one or more -1/-1 counters on a creature, create that many 1/1 black Insect creature tokens.",uncommon,,,Enchantment
101,Painful Lesson,B,3.0,{2}{B},,,,Target player draws two cards and loses 2 life.,common,,,Sorcery
102,Pitiless Vizier,B,4.0,{3}{B},4.0,2.0,,"Whenever you cycle or discard a card, Pitiless Vizier gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)",common,,,Creature
103,Plague Belcher,B,3.0,{2}{B},5.0,4.0,,"Menace
When Plague Belcher enters the battlefield, put two -1/-1 counters on target creature you control.
Whenever another Zombie you control dies, each opponent loses 1 life.",rare,Menace,,Creature
104,Ruthless Sniper,B,1.0,{B},1.0,2.0,,"Whenever you cycle or discard a card, you may pay {1}. If you do, put a -1/-1 counter on target creature.",uncommon,,,Creature
105,Scarab Feast,B,1.0,{B},,,,"Exile up to three target cards from a single graveyard.
Cycling {B} ({B}, Discard this card: Draw a card.)",common,Cycling,,Instant
106,Shadow of the Grave,B,2.0,{1}{B},,,,Return to your hand all cards in your graveyard that you cycled or discarded this turn.,rare,,,Instant
107,Soulstinger,B,4.0,{3}{B},4.0,5.0,,"When Soulstinger enters the battlefield, put two -1/-1 counters on target creature you control.
When Soulstinger dies, you may put a -1/-1 counter on target creature for each -1/-1 counter on Soulstinger.",common,,,Creature
108,Splendid Agony,B,3.0,{2}{B},,,,Distribute two -1/-1 counters among one or two target creatures.,common,,,Instant
109,Stir the Sands,B,6.0,{4}{B}{B},,,,"Create three 2/2 black Zombie creature tokens.
Cycling {3}{B} ({3}{B}, Discard this card: Draw a card.)
When you cycle Stir the Sands, create a 2/2 black Zombie creature token.",uncommon,Cycling,,Sorcery
110,Supernatural Stamina,B,1.0,{B},,,,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",common,,,Instant
111,Trespasser's Curse,B,2.0,{1}{B},,,,"Enchant player
Whenever a creature enters the battlefield under enchanted player's control, that player loses 1 life and you gain 1 life.",common,Enchant,,Enchantment
112,Trial of Ambition,B,2.0,{1}{B},,,,"When Trial of Ambition enters the battlefield, target opponent sacrifices a creature.
When a Cartouche enters the battlefield under your control, return Trial of Ambition to its owner's hand.",uncommon,,,Enchantment
113,Unburden,B,3.0,{1}{B}{B},,,,"Target player discards two cards.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Sorcery
114,Wander in Death,B,3.0,{2}{B},,,,"Return up to two target creature cards from your graveyard to your hand.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Sorcery
115,Wasteland Scorpion,B,3.0,{2}{B},2.0,2.0,,"Deathtouch
Cycling {2} ({2}, Discard this card: Draw a card.)",common,"Cycling, Deathtouch",,Creature
116,Ahn-Crop Crasher,R,3.0,{2}{R},3.0,2.0,,"Haste
You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. (An exerted creature won't untap during your next untap step.)",uncommon,"Exert, Haste",,Creature
117,Battlefield Scavenger,R,2.0,{1}{R},2.0,2.0,,"You may exert Battlefield Scavenger as it attacks. (It won't untap during your next untap step.)
Whenever you exert a creature, you may discard a card. If you do, draw a card.",uncommon,Exert,,Creature
118,Blazing Volley,R,1.0,{R},,,,Blazing Volley deals 1 damage to each creature your opponents control.,common,,,Sorcery
119,Bloodlust Inciter,R,1.0,{R},1.0,1.0,,{T}: Target creature gains haste until end of turn.,common,,,Creature
120,Bloodrage Brawler,R,2.0,{1}{R},4.0,3.0,,"When Bloodrage Brawler enters the battlefield, discard a card.",uncommon,,,Creature
121,Brute Strength,R,2.0,{1}{R},,,,Target creature gets +3/+1 and gains trample until end of turn.,common,,,Instant
122,By Force,R,1.0,{X}{R},,,,Destroy X target artifacts.,uncommon,,,Sorcery
123,Cartouche of Zeal,R,1.0,{R},,,,"Enchant creature you control
When Cartouche of Zeal enters the battlefield, target creature can't block this turn.
Enchanted creature gets +1/+1 and has haste.",common,Enchant,,Enchantment
124,Combat Celebrant,R,3.0,{2}{R},4.0,1.0,,"If Combat Celebrant hasn't been exerted this turn, you may exert it as it attacks. When you do, untap all other creatures you control and after this phase, there is an additional combat phase. (An exerted creature won't untap during your next untap step.)",mythic,Exert,,Creature
125,Consuming Fervor,R,1.0,{R},,,,"Enchant creature
Enchanted creature gets +3/+3 and has ""At the beginning of your upkeep, put a -1/-1 counter on this creature.""",uncommon,Enchant,,Enchantment
126,Deem Worthy,R,5.0,{4}{R},,,,"Deem Worthy deals 7 damage to target creature.
Cycling {3}{R} ({3}{R}, Discard this card: Draw a card.)
When you cycle Deem Worthy, you may have it deal 2 damage to target creature.",uncommon,Cycling,,Instant
127,Desert Cerodon,R,6.0,{5}{R},6.0,4.0,,"Cycling {R} ({R}, Discard this card: Draw a card.)",common,Cycling,,Creature
128,Electrify,R,4.0,{3}{R},,,,Electrify deals 4 damage to target creature.,common,,,Instant
129,Emberhorn Minotaur,R,4.0,{3}{R},4.0,3.0,,"You may exert Emberhorn Minotaur as it attacks. When you do, it gets +1/+1 and gains menace until end of turn. (An exerted creature won't untap during your next untap step.)",common,Exert,,Creature
130,Flameblade Adept,R,1.0,{R},1.0,2.0,,"Menace
Whenever you cycle or discard a card, Flameblade Adept gets +1/+0 until end of turn.",uncommon,Menace,,Creature
131,Fling,R,2.0,{1}{R},,,,"As an additional cost to cast this spell, sacrifice a creature.
Fling deals damage equal to the sacrificed creature's power to any target.",common,,,Instant
132,Glorious End,R,3.0,{2}{R},,,,"End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)
At the beginning of your next end step, you lose the game.",mythic,,,Instant
133,Glorybringer,R,5.0,{3}{R}{R},4.0,4.0,,"Flying, haste
You may exert Glorybringer as it attacks. When you do, it deals 4 damage to target non-Dragon creature an opponent controls. (An exerted creature won't untap during your next untap step.)",rare,"Exert, Flying, Haste",,Creature
134,Harsh Mentor,R,2.0,{1}{R},2.0,2.0,,"Whenever an opponent activates an ability of an artifact, creature, or land on the battlefield, if it isn't a mana ability, Harsh Mentor deals 2 damage to that player.",rare,,,Creature
135,Hazoret the Fervent,R,4.0,{3}{R},5.0,4.0,,"Indestructible, haste
Hazoret the Fervent can't attack or block unless you have one or fewer cards in hand.
{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent.",mythic,"Haste, Indestructible",Legendary,Creature
136,Hazoret's Favor,R,3.0,{2}{R},,,,"At the beginning of combat on your turn, you may have target creature you control get +2/+0 and gain haste until end of turn. If you do, sacrifice it at the beginning of the next end step.",rare,,,Enchantment
137,Heart-Piercer Manticore,R,4.0,{2}{R}{R},4.0,3.0,,"When Heart-Piercer Manticore enters the battlefield, you may sacrifice another creature. When you do, Heart-Piercer Manticore deals damage equal to that creature's power to any target.
Embalm {5}{R} ({5}{R}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Manticore with no mana cost. Embalm only as a sorcery.)",rare,Embalm,,Creature
138,Hyena Pack,R,4.0,{2}{R}{R},3.0,4.0,,,common,,,Creature
139,Limits of Solidarity,R,4.0,{3}{R},,,,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Sorcery
140,Magma Spray,R,1.0,{R},,,,"Magma Spray deals 2 damage to target creature. If that creature would die this turn, exile it instead.",common,,,Instant
141,Manticore of the Gauntlet,R,5.0,{4}{R},5.0,4.0,,"When Manticore of the Gauntlet enters the battlefield, put a -1/-1 counter on target creature you control. Manticore of the Gauntlet deals 3 damage to target opponent or planeswalker.",common,,,Creature
142,Minotaur Sureshot,R,3.0,{2}{R},2.0,3.0,,"Reach (This creature can block creatures with flying.)
{1}{R}: Minotaur Sureshot gets +1/+0 until end of turn.",common,Reach,,Creature
143,Nef-Crop Entangler,R,2.0,{1}{R},2.0,1.0,,"Trample
You may exert Nef-Crop Entangler as it attacks. When you do, it gets +1/+2 until end of turn. (An exerted creature won't untap during your next untap step.)",common,"Exert, Trample",,Creature
144,Nimble-Blade Khenra,R,2.0,{1}{R},1.0,3.0,,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",common,Prowess,,Creature
145,Pathmaker Initiate,R,2.0,{1}{R},2.0,1.0,,{T}: Target creature with power 2 or less can't be blocked this turn.,common,,,Creature
