,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
39,Steadfast Armasaur,W,4.0,{3}{W},2.0,3.0,,"Vigilance
{1}{W}, {T}: Steadfast Armasaur deals damage equal to its toughness to target creature blocking or blocked by it.",uncommon,Vigilance,,Creature
40,Sunrise Seeker,W,5.0,{4}{W},3.0,3.0,,"Vigilance
When Sunrise Seeker enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",common,"Explore, Vigilance",,Creature
41,Territorial Hammerskull,W,3.0,{2}{W},2.0,3.0,,"Whenever Territorial Hammerskull attacks, tap target creature an opponent controls.",common,,,Creature
42,Tocatli Honor Guard,W,2.0,{1}{W},1.0,3.0,,Creatures entering the battlefield don't cause abilities to trigger.,rare,,,Creature
43,Vampire's Zeal,W,1.0,{W},,,,"Target creature gets +2/+2 until end of turn. If it's a Vampire, it gains first strike until end of turn.",common,,,Instant
44,Wakening Sun's Avatar,W,8.0,{5}{W}{W}{W},7.0,7.0,,"When Wakening Sun's Avatar enters the battlefield, if you cast it from your hand, destroy all non-Dinosaur creatures.",mythic,,,Creature
45,Air Elemental,U,5.0,{3}{U}{U},4.0,4.0,,Flying,uncommon,Flying,,Creature
46,Arcane Adaptation,U,3.0,{2}{U},,,,"As Arcane Adaptation enters the battlefield, choose a creature type.
Creatures you control are the chosen type in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.",rare,,,Enchantment
47,Cancel,U,3.0,{1}{U}{U},,,,Counter target spell.,common,,,Instant
48,Chart a Course,U,2.0,{1}{U},,,,Draw two cards. Then discard a card unless you attacked this turn.,uncommon,,,Sorcery
49,Daring Saboteur,U,2.0,{1}{U},2.0,1.0,,"{2}{U}: Daring Saboteur can't be blocked this turn.
Whenever Daring Saboteur deals combat damage to a player, you may draw a card. If you do, discard a card.",rare,,,Creature
50,Deadeye Quartermaster,U,4.0,{3}{U},2.0,2.0,,"When Deadeye Quartermaster enters the battlefield, you may search your library for an Equipment or Vehicle card, reveal it, put it into your hand, then shuffle.",uncommon,,,Creature
51,Deeproot Waters,U,3.0,{2}{U},,,,"Whenever you cast a Merfolk spell, create a 1/1 blue Merfolk creature token with hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)",uncommon,,,Enchantment
52,Depths of Desire,U,3.0,{2}{U},,,,"Return target creature to its owner's hand. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Instant
53,Dive Down,U,1.0,{U},,,,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),common,,,Instant
54,Dreamcaller Siren,U,4.0,{2}{U}{U},3.0,3.0,,"Flash
Flying
Dreamcaller Siren can block only creatures with flying.
When Dreamcaller Siren enters the battlefield, if you control another Pirate, tap up to two target nonland permanents.",rare,"Flash, Flying",,Creature
55,Entrancing Melody,U,2.0,{X}{U}{U},,,,Gain control of target creature with mana value X.,rare,,,Sorcery
56,Favorable Winds,U,2.0,{1}{U},,,,Creatures you control with flying get +1/+1.,uncommon,,,Enchantment
57,Fleet Swallower,U,7.0,{5}{U}{U},6.0,6.0,,"Whenever Fleet Swallower attacks, target player mills half their library, rounded up.",rare,Mill,,Creature
58,Headwater Sentries,U,4.0,{3}{U},2.0,5.0,,,common,,,Creature
59,Herald of Secret Streams,U,4.0,{3}{U},2.0,3.0,,Creatures you control with +1/+1 counters on them can't be blocked.,rare,,,Creature
60,"Jace, Cunning Castaway",U,3.0,{1}{U}{U},,,3.0,"[+1]: Whenever one or more creatures you control deal combat damage to a player this turn, draw a card, then discard a card.
[−2]: Create a 2/2 blue Illusion creature token with ""When this creature becomes the target of a spell, sacrifice it.""
[−5]: Create two tokens that are copies of Jace, Cunning Castaway, except they're not legendary.",mythic,,Legendary,Planeswalker
61,"Kopala, Warden of Waves",U,3.0,{1}{U}{U},2.0,2.0,,"Spells your opponents cast that target a Merfolk you control cost {2} more to cast.
Abilities your opponents activate that target a Merfolk you control cost {2} more to activate.",rare,,Legendary,Creature
62,Lookout's Dispersal,U,3.0,{2}{U},,,,"This spell costs {1} less to cast if you control a Pirate.
Counter target spell unless its controller pays {4}.",uncommon,,,Instant
63,Navigator's Ruin,U,3.0,{2}{U},,,,"Raid — At the beginning of your end step, if you attacked this turn, target opponent mills four cards.",uncommon,"Mill, Raid",,Enchantment
64,One With the Wind,U,2.0,{1}{U},,,,"Enchant creature
Enchanted creature gets +2/+2 and has flying.",common,Enchant,,Enchantment
65,Opt,U,1.0,{U},,,,"Scry 1.
Draw a card.",common,Scry,,Instant
66,Overflowing Insight,U,7.0,{4}{U}{U}{U},,,,Target player draws seven cards.,mythic,,,Sorcery
67,Perilous Voyage,U,2.0,{1}{U},,,,"Return target nonland permanent you don't control to its owner's hand. If its mana value was 2 or less, scry 2.",uncommon,Scry,,Instant
68,Pirate's Prize,U,4.0,{3}{U},,,,"Draw two cards. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Sorcery
69,Prosperous Pirates,U,5.0,{4}{U},3.0,4.0,,"When Prosperous Pirates enters the battlefield, create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Creature
70,River Sneak,U,2.0,{1}{U},1.0,1.0,,"River Sneak can't be blocked.
Whenever another Merfolk enters the battlefield under your control, River Sneak gets +1/+1 until end of turn.",uncommon,,,Creature
71,River's Rebuke,U,6.0,{4}{U}{U},,,,Return all nonland permanents target player controls to their owner's hand.,rare,,,Sorcery
72,Run Aground,U,4.0,{3}{U},,,,Put target artifact or creature on top of its owner's library.,common,,,Instant
73,Sailor of Means,U,3.0,{2}{U},1.0,4.0,,"When Sailor of Means enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Creature
74,Search for Azcanta,U,2.0,{1}{U},,,,"At the beginning of your upkeep, look at the top card of your library. You may put it into your graveyard. Then if you have seven or more cards in your graveyard, you may transform Search for Azcanta.",rare,Transform,Legendary,Enchantment
75,"Azcanta, the Sunken Ruin",L,2.0,,,,,"(Transforms from Search for Azcanta.)
{T}: Add {U}.
{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",rare,Transform,Legendary,Land
76,Shaper Apprentice,U,2.0,{1}{U},2.0,1.0,,Shaper Apprentice has flying as long as you control another Merfolk.,common,,,Creature
77,Shipwreck Looter,U,2.0,{1}{U},2.0,1.0,,"Raid — When Shipwreck Looter enters the battlefield, if you attacked this turn, you may draw a card. If you do, discard a card.",common,Raid,,Creature
78,Shore Keeper,U,1.0,{U},0.0,3.0,,"{7}{U}, {T}, Sacrifice Shore Keeper: Draw three cards.",common,,,Creature
79,Siren Lookout,U,3.0,{2}{U},1.0,2.0,,"Flying
When Siren Lookout enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",common,"Explore, Flying",,Creature
80,Siren Stormtamer,U,1.0,{U},1.0,1.0,,"Flying
{U}, Sacrifice Siren Stormtamer: Counter target spell or ability that targets you or a creature you control.",uncommon,Flying,,Creature
81,Siren's Ruse,U,2.0,{1}{U},,,,"Exile target creature you control, then return that card to the battlefield under its owner's control. If a Pirate was exiled this way, draw a card.",common,,,Instant
82,Spell Pierce,U,1.0,{U},,,,Counter target noncreature spell unless its controller pays {2}.,common,,,Instant
83,Spell Swindle,U,5.0,{3}{U}{U},,,,"Counter target spell. Create X Treasure tokens, where X is that spell's mana value. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",rare,,,Instant
84,Storm Fleet Aerialist,U,2.0,{1}{U},1.0,2.0,,"Flying
Raid — Storm Fleet Aerialist enters the battlefield with a +1/+1 counter on it if you attacked this turn.",uncommon,"Flying, Raid",,Creature
85,Storm Fleet Spy,U,3.0,{2}{U},2.0,2.0,,"Raid — When Storm Fleet Spy enters the battlefield, if you attacked this turn, draw a card.",uncommon,Raid,,Creature
86,Storm Sculptor,U,4.0,{3}{U},3.0,2.0,,"Storm Sculptor can't be blocked.
When Storm Sculptor enters the battlefield, return a creature you control to its owner's hand.",common,,,Creature
87,Tempest Caller,U,4.0,{2}{U}{U},2.0,3.0,,"When Tempest Caller enters the battlefield, tap all creatures target opponent controls.",uncommon,,,Creature
88,Watertrap Weaver,U,3.0,{2}{U},2.0,2.0,,"When Watertrap Weaver enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",common,,,Creature
89,Wind Strider,U,5.0,{4}{U},3.0,3.0,,"Flash
Flying",common,"Flash, Flying",,Creature
90,Anointed Deacon,B,5.0,{4}{B},3.0,3.0,,"At the beginning of combat on your turn, you may have target Vampire get +2/+0 until end of turn.",common,,,Creature
91,Arguel's Blood Fast,B,2.0,{1}{B},,,,"{1}{B}, Pay 2 life: Draw a card.
At the beginning of your upkeep, if you have 5 or less life, you may transform Arguel's Blood Fast.",rare,Transform,Legendary,Enchantment
92,Temple of Aclazotz,L,2.0,,,,,"(Transforms from Arguel's Blood Fast.)
{T}: Add {B}.
{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.",rare,Transform,Legendary,Land
93,Bishop of the Bloodstained,B,5.0,{3}{B}{B},3.0,3.0,,"When Bishop of the Bloodstained enters the battlefield, target opponent loses 1 life for each Vampire you control.",uncommon,,,Creature
94,Blight Keeper,B,1.0,{B},1.0,1.0,,"Flying
{7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life.",common,Flying,,Creature
95,Bloodcrazed Paladin,B,2.0,{1}{B},1.0,1.0,,"Flash
Bloodcrazed Paladin enters the battlefield with a +1/+1 counter on it for each creature that died this turn.",rare,Flash,,Creature
96,Boneyard Parley,B,7.0,{5}{B}{B},,,,Exile up to five target creature cards from graveyards. An opponent separates those cards into two piles. Put all cards from the pile of your choice onto the battlefield under your control and the rest into their owners' graveyards.,mythic,,,Sorcery
97,Contract Killing,B,5.0,{3}{B}{B},,,,"Destroy target creature. Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Sorcery
98,Costly Plunder,B,2.0,{1}{B},,,,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Draw two cards.",common,,,Instant
99,Dark Nourishment,B,5.0,{4}{B},,,,Dark Nourishment deals 3 damage to any target. You gain 3 life.,uncommon,,,Instant
100,Deadeye Tormentor,B,3.0,{2}{B},2.0,2.0,,"Raid — When Deadeye Tormentor enters the battlefield, if you attacked this turn, target opponent discards a card.",common,Raid,,Creature
101,Deadeye Tracker,B,1.0,{B},1.0,1.0,,"{1}{B}, {T}: Exile two target cards from an opponent's graveyard. Deadeye Tracker explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",rare,,,Creature
102,Deathless Ancient,B,6.0,{4}{B}{B},4.0,4.0,,"Flying
Tap three untapped Vampires you control: Return Deathless Ancient from your graveyard to your hand.",uncommon,Flying,,Creature
103,Desperate Castaways,B,2.0,{1}{B},2.0,3.0,,Desperate Castaways can't attack unless you control an artifact.,common,,,Creature
104,Dire Fleet Hoarder,B,2.0,{1}{B},2.0,1.0,,"When Dire Fleet Hoarder dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Creature
105,Dire Fleet Interloper,B,4.0,{3}{B},2.0,2.0,,"Menace
When Dire Fleet Interloper enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",common,"Explore, Menace",,Creature
106,Dire Fleet Ravager,B,5.0,{3}{B}{B},4.0,4.0,,"Menace, deathtouch
When Dire Fleet Ravager enters the battlefield, each player loses a third of their life, rounded up.",mythic,"Deathtouch, Menace",,Creature
107,Duress,B,1.0,{B},,,,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",common,,,Sorcery
108,Fathom Fleet Captain,B,2.0,{1}{B},2.0,1.0,,"Menace
Whenever Fathom Fleet Captain attacks, if you control another nontoken Pirate, you may pay {2}. If you do, create a 2/2 black Pirate creature token with menace.",rare,Menace,,Creature
109,Fathom Fleet Cutthroat,B,4.0,{3}{B},3.0,3.0,,"When Fathom Fleet Cutthroat enters the battlefield, destroy target creature an opponent controls that was dealt damage this turn.",common,,,Creature
110,Grim Captain's Call,B,3.0,{2}{B},,,,"Return a Pirate card from your graveyard to your hand, then do the same for Vampire, Dinosaur, and Merfolk.",uncommon,,,Sorcery
111,Heartless Pillage,B,3.0,{2}{B},,,,"Target opponent discards two cards.
Raid — If you attacked this turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",uncommon,Raid,,Sorcery
112,Kitesail Freebooter,B,2.0,{1}{B},1.0,2.0,,"Flying
When Kitesail Freebooter enters the battlefield, target opponent reveals their hand. You choose a noncreature, nonland card from it. Exile that card until Kitesail Freebooter leaves the battlefield.",uncommon,Flying,,Creature
113,Lurking Chupacabra,B,4.0,{3}{B},2.0,3.0,,"Whenever a creature you control explores, target creature an opponent controls gets -2/-2 until end of turn.",uncommon,,,Creature
114,March of the Drowned,B,1.0,{B},,,,"Choose one —
• Return target creature card from your graveyard to your hand.
• Return two target Pirate cards from your graveyard to your hand.",common,,,Sorcery
115,Mark of the Vampire,B,4.0,{3}{B},,,,"Enchant creature
Enchanted creature gets +2/+2 and has lifelink.",common,Enchant,,Enchantment
116,Queen's Agent,B,6.0,{5}{B},3.0,3.0,,"Lifelink
When Queen's Agent enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",common,"Explore, Lifelink",,Creature
117,Queen's Bay Soldier,B,2.0,{1}{B},2.0,2.0,,,common,,,Creature
118,Raiders' Wake,B,4.0,{3}{B},,,,"Whenever an opponent discards a card, that player loses 2 life.
Raid — At the beginning of your end step, if you attacked this turn, target opponent discards a card.",uncommon,Raid,,Enchantment
119,Revel in Riches,B,5.0,{4}{B},,,,"Whenever a creature an opponent controls dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
At the beginning of your upkeep, if you control ten or more Treasures, you win the game.",rare,,,Enchantment
120,Ruin Raider,B,3.0,{2}{B},3.0,2.0,,"Raid — At the beginning of your end step, if you attacked this turn, reveal the top card of your library and put that card into your hand. You lose life equal to the card's mana value.",rare,Raid,,Creature
121,Ruthless Knave,B,3.0,{2}{B},3.0,2.0,,"{2}{B}, Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Sacrifice three Treasures: Draw a card.",uncommon,,,Creature
122,Sanctum Seeker,B,4.0,{2}{B}{B},3.0,4.0,,"Whenever a Vampire you control attacks, each opponent loses 1 life and you gain 1 life.",rare,,,Creature
123,Seekers' Squire,B,2.0,{1}{B},1.0,2.0,,"When Seekers' Squire enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",uncommon,Explore,,Creature
124,Skittering Heartstopper,B,1.0,{B},1.0,2.0,,{B}: Skittering Heartstopper gains deathtouch until end of turn.,common,,,Creature
125,Skulduggery,B,1.0,{B},,,,"Until end of turn, target creature you control gets +1/+1 and target creature an opponent controls gets -1/-1.",common,,,Instant
126,Skymarch Bloodletter,B,3.0,{2}{B},2.0,2.0,,"Flying
When Skymarch Bloodletter enters the battlefield, target opponent loses 1 life and you gain 1 life.",common,Flying,,Creature
127,Spreading Rot,B,5.0,{4}{B},,,,Destroy target land. Its controller loses 2 life.,common,,,Sorcery
128,Sword-Point Diplomacy,B,3.0,{2}{B},,,,"Reveal the top three cards of your library. For each of those cards, put that card into your hand unless any opponent pays 3 life. Then exile the rest.",rare,,,Sorcery
129,Vanquish the Weak,B,3.0,{2}{B},,,,Destroy target creature with power 3 or less.,common,,,Instant
130,Vicious Conquistador,B,1.0,{B},1.0,2.0,,"Whenever Vicious Conquistador attacks, each opponent loses 1 life.",uncommon,,,Creature
131,Vraska's Contempt,B,4.0,{2}{B}{B},,,,Exile target creature or planeswalker. You gain 2 life.,rare,,,Instant
132,Walk the Plank,B,2.0,{B}{B},,,,Destroy target non-Merfolk creature.,uncommon,,,Sorcery
133,Wanted Scoundrels,B,2.0,{1}{B},4.0,3.0,,"When Wanted Scoundrels dies, target opponent creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",uncommon,,,Creature
134,Angrath's Marauders,R,7.0,{5}{R}{R},4.0,4.0,,"If a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.",rare,,,Creature
135,Bonded Horncrest,R,4.0,{3}{R},5.0,5.0,,Bonded Horncrest can't attack or block alone.,uncommon,,,Creature
136,Brazen Buccaneers,R,4.0,{3}{R},2.0,2.0,,"Haste
When Brazen Buccaneers enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",common,"Explore, Haste",,Creature
137,Burning Sun's Avatar,R,6.0,{3}{R}{R}{R},6.0,6.0,,"When Burning Sun's Avatar enters the battlefield, it deals 3 damage to target opponent or planeswalker and 3 damage to up to one target creature.",rare,,,Creature
138,Captain Lannery Storm,R,3.0,{2}{R},2.0,2.0,,"Haste
Whenever Captain Lannery Storm attacks, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Whenever you sacrifice a Treasure, Captain Lannery Storm gets +1/+0 until end of turn.",rare,Haste,Legendary,Creature
139,Captivating Crew,R,4.0,{3}{R},4.0,3.0,,{3}{R}: Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate only as a sorcery.,rare,,,Creature
140,Charging Monstrosaur,R,5.0,{4}{R},5.0,5.0,,"Trample, haste",uncommon,"Haste, Trample",,Creature
141,Demolish,R,4.0,{3}{R},,,,Destroy target artifact or land.,common,,,Sorcery
142,Dinosaur Stampede,R,3.0,{2}{R},,,,Attacking creatures get +2/+0 until end of turn. Dinosaurs you control gain trample until end of turn.,uncommon,,,Instant
143,Dual Shot,R,1.0,{R},,,,Dual Shot deals 1 damage to each of up to two target creatures.,common,,,Instant
144,Fathom Fleet Firebrand,R,2.0,{1}{R},2.0,2.0,,{1}{R}: Fathom Fleet Firebrand gets +1/+0 until end of turn.,common,,,Creature
145,Fiery Cannonade,R,3.0,{2}{R},,,,Fiery Cannonade deals 2 damage to each non-Pirate creature.,uncommon,,,Instant
146,Fire Shrine Keeper,R,1.0,{R},1.0,1.0,,"Menace
{7}{R}, {T}, Sacrifice Fire Shrine Keeper: It deals 3 damage to each of up to two target creatures.",common,Menace,,Creature
147,Firecannon Blast,R,3.0,{1}{R}{R},,,,"Firecannon Blast deals 3 damage to target creature.
Raid — Firecannon Blast deals 6 damage instead if you attacked this turn.",common,Raid,,Sorcery
148,Frenzied Raptor,R,3.0,{2}{R},4.0,2.0,,,common,,,Creature
149,Headstrong Brute,R,3.0,{2}{R},3.0,3.0,,"Headstrong Brute can't block.
Headstrong Brute has menace as long as you control another Pirate.",common,,,Creature
150,Hijack,R,3.0,{1}{R}{R},,,,Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn.,common,,,Sorcery
151,Lightning Strike,R,2.0,{1}{R},,,,Lightning Strike deals 3 damage to any target.,uncommon,,,Instant
152,Lightning-Rig Crew,R,3.0,{2}{R},0.0,5.0,,"{T}: Lightning-Rig Crew deals 1 damage to each opponent.
Whenever you cast a Pirate spell, untap Lightning-Rig Crew.",uncommon,,,Creature
153,Makeshift Munitions,R,2.0,{1}{R},,,,"{1}, Sacrifice an artifact or creature: Makeshift Munitions deals 1 damage to any target.",uncommon,,,Enchantment
154,Nest Robber,R,2.0,{1}{R},2.0,1.0,,Haste,common,Haste,,Creature
155,Otepec Huntmaster,R,2.0,{1}{R},1.0,2.0,,"Dinosaur spells you cast cost {1} less to cast.
{T}: Target Dinosaur gains haste until end of turn.",uncommon,,,Creature
156,Rampaging Ferocidon,R,3.0,{2}{R},3.0,3.0,,"Menace
Players can't gain life.
Whenever another creature enters the battlefield, Rampaging Ferocidon deals 1 damage to that creature's controller.",rare,Menace,,Creature
157,Raptor Hatchling,R,2.0,{1}{R},1.0,1.0,,"Enrage — Whenever Raptor Hatchling is dealt damage, create a 3/3 green Dinosaur creature token with trample.",uncommon,Enrage,,Creature
158,Repeating Barrage,R,3.0,{1}{R}{R},,,,"Repeating Barrage deals 3 damage to any target.
Raid — {3}{R}{R}: Return Repeating Barrage from your graveyard to your hand. Activate only if you attacked this turn.",rare,Raid,,Sorcery
159,Rigging Runner,R,1.0,{R},1.0,1.0,,"First strike
Raid — Rigging Runner enters the battlefield with a +1/+1 counter on it if you attacked this turn.",uncommon,"First strike, Raid",,Creature
160,Rile,R,1.0,{R},,,,"Rile deals 1 damage to target creature you control. That creature gains trample until end of turn.
Draw a card.",common,,,Sorcery
